Group.1	year	month	Almaty	Andizhan	Ashbagat	Bairam.ali	Baityk	Chardzhou	Charvak	Dzhizak	Fergana	Kattakurgan	Leninabad	Namangan	Naryn	Osh	Panfilov	Przhevalsk	Rybache	Samarkand	Serahs	Tashkent	Termez
1901	1901	6.5	7.20833333333333	12.7083333333333	16.125	16.425	6.49166666666667	16.1666666666667	12.45	14.3916666666667	13.1666666666667	13.55	14.275	13.7583333333333	2.79166666666667	10.9333333333333	9.95833333333333	5.10833333333333	6.88333333333333	13.9916666666667	17.3666666666667	13.1916666666667	17.6666666666667
1902	1902	6.5	8.35	13.125	16.5	17.0083333333333	6.78333333333333	16.5	13.05	15.3166666666667	13.6666666666667	14.1916666666667	14.85	14.2333333333333	2.06666666666667	11.1583333333333	10.7833333333333	5.89166666666667	7.2	14.575	17.875	13.9916666666667	17.9416666666667
1903	1903	6.5	6.3	12.0583333333333	15.5	15.0166666666667	5.51666666666667	15.2833333333333	11.675	13.6	12.0083333333333	12.5333333333333	13.475	12.875	0.0916666666666667	10.3166666666667	9	4.775	5.91666666666667	12.9333333333333	15.8666666666667	12.55	16.2333333333333
1904	1904	6.5	7.70833333333333	13.0166666666667	15.7083333333333	15.425	6.46666666666667	15.575	12.375	14.0833333333333	12.8833333333333	13.15	14.3833333333333	13.6916666666667	2.375	10.6916666666667	10.1333333333333	5.35	6.93333333333333	13.5916666666667	16.2666666666667	13.175	16.775
1905	1905	6.5	6.44166666666667	11.9916666666667	15.6833333333333	15.6083333333333	5.80833333333333	15.6583333333333	11.9416666666667	14.3	12.2083333333333	13.0833333333333	14	12.975	1.14166666666667	9.975	9.50833333333333	5.31666666666667	6.25833333333333	13.4333333333333	16.7	12.6833333333333	17.15
1906	1906	6.5	7.10833333333333	13.2083333333333	16.0083333333333	15.9416666666667	6.55	15.85	12.625	14.4416666666667	13.225	13.3416666666667	14.85	13.9833333333333	2.88333333333333	10.9416666666667	10.0916666666667	5.4	6.88333333333333	13.55	16.9333333333333	13.325	17.4
1907	1907	6.5	6.76666666666667	12.6416666666667	14.8916666666667	14.9666666666667	6.06666666666667	14.9833333333333	11.7666666666667	13.45	12.5	12.35	13.9333333333333	13.2416666666667	2.275	10.3083333333333	9.425	4.83333333333333	6.49166666666667	12.5916666666667	15.9666666666667	12.35	16.3666666666667
1908	1908	6.5	7.08333333333333	12.8333333333333	16.1583333333333	15.725	6.33333333333333	15.825	12.2833333333333	13.6833333333333	13.1166666666667	13.0416666666667	14.3333333333333	13.6583333333333	2.25833333333333	10.6416666666667	9.99166666666667	5.45	6.74166666666667	13.4083333333333	16.9083333333333	13.0583333333333	17.175
1909	1909	6.5	8.29166666666667	13.3833333333333	17.4416666666667	16.6166666666667	7.04166666666667	16.825	13.0416666666667	14.9333333333333	13.5416666666667	13.8833333333333	15.0916666666667	14.3083333333333	3.575	11.2083333333333	10.875	5.81666666666667	7.475	14.075	17.8166666666667	13.85	17.675
1910	1910	6.5	7.53333333333333	13.0416666666667	16.6583333333333	15.6333333333333	6.49166666666667	15.725	12.5333333333333	14.475	13.3166666666667	13.3583333333333	14.3833333333333	13.875	2.49166666666667	10.8333333333333	10.075	5.18333333333333	6.88333333333333	13.7416666666667	16.9583333333333	13.3166666666667	16.625
1911	1911	6.5	8	12.5916666666667	15.0916666666667	14.9	6.66666666666667	15.075	11.875	13.3916666666667	12.5333333333333	12.65	14.0833333333333	13.3083333333333	4.425	10.425	9.96666666666667	4.65	7.25833333333333	13.1666666666667	16.15	12.3333333333333	16.5833333333333
1912	1912	6.5	8.26666666666667	13.3166666666667	16.1833333333333	15.625	7.28333333333333	15.8583333333333	12.8583333333333	14.65	14.3166666666667	13.3916666666667	14.8083333333333	14.4583333333333	5.00833333333333	11.3666666666667	10.8666666666667	5.56666666666667	7.725	13.5	16.9583333333333	13.4416666666667	17.2666666666667
1913	1913	6.5	8.33333333333333	13.3416666666667	16.15	15.4166666666667	6.55	15.8083333333333	12.7666666666667	14.7916666666667	13.6583333333333	13.3666666666667	15.05	14.1833333333333	1.45833333333333	11.0666666666667	10.2083333333333	5.1	6.91666666666667	13.7416666666667	16.8333333333333	13.4416666666667	17.4083333333333
1914	1914	6.5	8.96666666666667	14.0166666666667	16.9166666666667	16.8833333333333	7.51666666666667	16.775	13.425	15.3666666666667	14.6916666666667	14.1	15.15	14.9916666666667	4.15	11.8916666666667	11.7333333333333	6.64166666666667	7.975	14.5333333333333	17.6666666666667	14.075	18.125
1915	1915	6.5	8.875	14.3916666666667	17.3166666666667	17.1583333333333	7.81666666666667	17.55	13.7083333333333	16.1666666666667	14.4583333333333	14.3583333333333	15.3583333333333	15.1	3.475	11.675	11.7666666666667	6.71666666666667	7.89166666666667	15.1583333333333	18.2666666666667	14.55	18.725
1916	1916	6.5	6.96666666666667	12.8833333333333	15.8166666666667	14.8916666666667	6.15833333333333	15.5333333333333	11.4916666666667	14.075	12.2416666666667	12.7583333333333	13.875	13.2166666666667	3.375	10.175	9.85833333333333	5.25833333333333	6.81666666666667	13.25	16.3416666666667	12.5416666666667	16.7416666666667
1917	1917	6.5	7.875	13.7083333333333	17.1416666666667	16.575	6.975	16.65	13.1	15.2083333333333	13.8166666666667	14.0833333333333	15.1666666666667	14.475	3.03333333333333	11.375	9.90833333333333	6.14166666666667	7.34166666666667	14.6833333333333	17.8083333333333	13.7833333333333	18.2083333333333
1918	1918	6.5	6.68333333333333	12.325	15.675	15.1	5.80833333333333	15.35	11.8583333333333	13.6666666666667	12.6916666666667	12.7916666666667	13.7583333333333	13.1583333333333	2.30833333333333	10.225	9.26666666666667	5.05	6.48333333333333	13.275	16.3666666666667	12.4333333333333	16.7
1919	1919	6.5	7.00833333333333	12.0916666666667	15.6333333333333	15.0833333333333	6.18333333333333	15.3083333333333	11.9	14.0666666666667	11.9083333333333	12.6	13.7333333333333	12.9166666666667	2.13333333333333	9.975	9.30833333333333	4.54166666666667	6.5	13.125	16.35	12.7083333333333	16.4916666666667
1920	1920	6.5	5.34166666666667	11.0833333333333	14.1333333333333	13.6083333333333	4.01666666666667	13.8916666666667	10.225	12.4416666666667	11.175	11.2583333333333	12.3166666666667	11.6916666666667	0.7	8.93333333333333	8.21666666666667	4.05833333333333	5.35	11.9583333333333	14.9333333333333	11.2583333333333	15.15
