	date	ws	wd
219	08.08.2013	4	110
220	09.08.2013	2.2	144
221	10.08.2013	3.2	250
222	11.08.2013	2.6	84
223	12.08.2013	2.6	348
224	13.08.2013	4.9	289
225	14.08.2013	5.7	319
226	15.08.2013	4	299
227	16.08.2013	3	310
228	17.08.2013	2.1	82
229	18.08.2013	2.1	145
230	19.08.2013	1.9	171
231	20.08.2013	1.5	212
232	21.08.2013	2.4	37
233	22.08.2013	4.5	74
234	23.08.2013	4.2	99
235	24.08.2013	5.9	85
236	25.08.2013	3.7	47
237	26.08.2013	3.4	270
238	27.08.2013	4.2	256
239	28.08.2013	2.9	189
240	29.08.2013	5.7	354
241	30.08.2013	6.2	1
242	31.08.2013	7	315
243	01.09.2013	6.1	255
244	02.09.2013	4.6	266
245	03.09.2013	3	175
246	04.09.2013	4.2	192
247	05.09.2013	1.5	330
248	06.09.2013	2.5	21
249	07.09.2013	3.2	71
250	08.09.2013	4.6	113
251	09.09.2013	5.5	132
252	10.09.2013	4.4	59
253	11.09.2013	2.9	323
254	12.09.2013	2.2	57
255	13.09.2013	1.9	12
256	14.09.2013	1.9	124
257	15.09.2013	3.9	295
258	16.09.2013	4.5	308
259	17.09.2013	2.9	341
260	18.09.2013	3.1	331
261	19.09.2013	2.6	191
262	20.09.2013	2.7	19
263	21.09.2013	2.5	338
264	22.09.2013	2.6	153
265	23.09.2013	3.1	156
266	24.09.2013	3.5	158
267	25.09.2013	4.6	157
268	26.09.2013	3.2	104
269	27.09.2013	4.4	260
270	28.09.2013	6.7	197
271	29.09.2013	7.6	258
272	30.09.2013	3.4	169
273	01.10.2013	3.4	150
274	02.10.2013	5.5	267
275	03.10.2013	7.7	242
276	04.10.2013	6	257
277	05.10.2013	3.2	360
278	06.10.2013	4.1	88
279	07.10.2013	3.5	118
280	08.10.2013	6.6	262
281	09.10.2013	8.7	234
282	10.10.2013	7.5	258
283	11.10.2013	4	284
284	12.10.2013	3.4	81
285	13.10.2013	7.2	174
286	14.10.2013	8.2	221
287	15.10.2013	8.2	197
288	16.10.2013	7	264
289	17.10.2013	8.1	241
290	18.10.2013	11.1	235
291	19.10.2013	7.5	238
292	20.10.2013	3.1	57
293	21.10.2013	6	148
294	22.10.2013	6.1	194
295	23.10.2013	6.9	263
296	24.10.2013	4.9	1
297	25.10.2013	2.4	44
298	26.10.2013	6.2	201
299	27.10.2013	6	221
300	28.10.2013	8.4	233
301	29.10.2013	7.7	223
302	30.10.2013	7.6	233
303	31.10.2013	7	234
304	01.11.2013	9.4	239
305	02.11.2013	13	213
306	03.11.2013	8.9	275
307	04.11.2013	6.7	233
308	05.11.2013	7.9	239
309	06.11.2013	9.9	243
310	07.11.2013	6	283
311	08.11.2013	1.7	89
312	09.11.2013	3.4	150
313	10.11.2013	5.6	188
314	11.11.2013	6.2	215
315	12.11.2013	4.1	259
