"date","ws","wd"
"1",2013-01-02,3.4,175
"2",2013-01-03,5,171
"3",2013-01-04,3.4,116
"4",2013-01-05,4,332
"5",2013-01-06,5.1,195
"6",2013-01-07,5.5,160
"7",2013-01-08,3.6,144
"8",2013-01-09,4.4,100
"9",2013-01-10,5.1,141
"10",2013-01-11,2.7,336
"11",2013-01-12,5.2,131
"12",2013-01-13,4.1,263
"13",2013-01-14,9.2,231
"14",2013-01-15,12.5,218
"15",2013-01-16,4.2,276
"16",2013-01-17,10.1,245
"17",2013-01-18,8.1,252
"18",2013-01-19,7.7,262
"19",2013-01-20,5.7,239
"20",2013-01-21,1.6,191
"21",2013-01-22,3.1,201
"22",2013-01-23,9.4,172
"23",2013-01-24,13,233
"24",2013-01-25,4.2,219
"25",2013-01-26,3,162
"26",2013-01-27,11.6,245
"27",2013-01-28,6.9,259
"28",2013-01-29,5.1,254
"29",2013-01-30,5.7,253
"30",2013-01-31,5.7,257
"31",2013-02-01,2.5,275
"32",2013-02-02,3.4,124
"33",2013-02-03,4.2,126
"34",2013-02-04,3.6,153
"35",2013-02-05,3.1,298
"36",2013-02-06,4.6,273
"37",2013-02-07,3.7,152
"38",2013-02-08,6.5,223
"39",2013-02-09,3.7,311
"40",2013-02-10,5,268
"41",2013-02-11,10.6,256
"42",2013-02-12,8.9,262
"43",2013-02-13,2.4,268
"44",2013-02-14,6.9,233
"45",2013-02-15,8,288
"46",2013-02-16,6.1,283
"47",2013-02-17,4.6,218
"48",2013-02-18,4.1,242
"49",2013-02-19,2.1,279
"50",2013-02-20,0.6,286
"51",2013-02-21,2,133
"52",2013-02-22,3.4,267
"53",2013-02-23,5.1,252
"54",2013-02-24,8,224
"55",2013-02-25,8.7,257
"56",2013-02-26,7.6,243
"57",2013-02-27,9.7,263
"58",2013-02-28,11.1,213
"59",2013-03-01,14.5,219
"60",2013-03-02,9.1,210
"61",2013-03-03,7.2,185
"62",2013-03-04,9.1,247
"63",2013-03-05,11,243
"64",2013-03-06,4.1,107
"65",2013-03-07,5.4,89
"66",2013-03-08,6.6,247
"67",2013-03-09,18,218
"68",2013-03-10,15,246
"69",2013-03-11,8.6,243
"70",2013-03-12,4.7,141
"71",2013-03-13,4,252
"72",2013-03-14,2.9,164
"73",2013-03-15,6.2,197
"74",2013-03-16,4.9,23
"75",2013-03-17,2.4,129
"76",2013-03-18,2.6,269
"77",2013-03-19,2.5,265
"78",2013-03-20,3.5,38
"79",2013-03-21,6.7,129
"80",2013-03-22,7.6,281
"81",2013-03-23,2.7,158
"82",2013-03-24,3.7,213
"83",2013-03-25,3.7,272
"84",2013-03-26,5.9,129
"85",2013-03-27,6.4,159
"86",2013-03-28,8,220
"87",2013-03-29,5.5,240
"88",2013-03-30,3.4,146
"89",2013-03-31,6.6,288
"90",2013-04-01,5.7,323
"91",2013-04-02,5.6,248
"92",2013-04-03,6.1,279
"93",2013-04-04,4.9,174
"94",2013-04-05,9.4,253
"95",2013-04-06,4.1,24
"96",2013-04-07,3.7,184
"97",2013-04-08,4.5,178
"98",2013-04-09,5,180
"99",2013-04-10,5.7,225
"100",2013-04-11,4,182
"101",2013-04-12,5,93
"102",2013-04-13,4,177
"103",2013-04-14,4.6,15
"104",2013-04-15,3,49
"105",2013-04-16,11,81
"106",2013-04-17,7.9,88
"107",2013-04-18,1.9,321
"108",2013-04-19,5.2,304
"109",2013-04-20,3.1,226
"110",2013-04-21,3,292
"111",2013-04-22,6.6,262
"112",2013-04-23,1.6,238
"113",2013-04-24,4,123
"114",2013-04-25,4.9,232
"115",2013-04-26,3,319
"116",2013-04-27,4.1,140
"117",2013-04-28,8.6,191
"118",2013-04-29,11,212
"119",2013-04-30,6.6,242
"120",2013-05-01,11,270
"121",2013-05-02,5.5,254
"122",2013-05-03,7.7,249
"123",2013-05-04,6,286
"124",2013-05-05,9.4,252
"125",2013-05-06,9,285
"126",2013-05-07,3.4,209
"127",2013-05-08,11,232
"128",2013-05-09,3.9,196
"129",2013-05-10,4.9,247
"130",2013-05-11,7.7,278
"131",2013-05-12,4.9,236
"132",2013-05-13,5.4,352
"133",2013-05-14,4.6,249
"134",2013-05-15,6.2,241
"135",2013-05-16,5.5,302
"136",2013-05-17,1.6,60
"137",2013-05-18,5,185
"138",2013-05-19,9,276
"139",2013-05-20,6.6,305
"140",2013-05-21,3.4,293
"141",2013-05-22,6.9,242
"142",2013-05-23,8.7,248
"143",2013-05-24,7.6,295
"144",2013-05-25,5,301
"145",2013-05-26,3.1,291
"146",2013-05-27,2.6,227
"147",2013-05-28,6,262
"148",2013-05-29,4.4,307
"149",2013-05-30,3,321
"150",2013-05-31,2.4,244
"151",2013-06-01,2.9,36
"152",2013-06-02,3.5,44
"153",2013-06-03,3.6,19
"154",2013-06-04,2.5,48
"155",2013-06-05,2,66
"156",2013-06-06,1.6,146
"157",2013-06-07,5,160
"158",2013-06-08,4.5,181
"159",2013-06-09,5,213
"160",2013-06-10,2.9,294
"161",2013-06-11,5.5,283
"162",2013-06-12,6.2,293
"163",2013-06-13,2.6,319
"164",2013-06-14,2,319
"165",2013-06-15,3.5,293
"166",2013-06-16,5.7,356
"167",2013-06-17,2,346
"168",2013-06-18,4.1,286
"169",2013-06-19,2.9,7
"170",2013-06-20,1.7,133
"171",2013-06-21,2.1,92
"172",2013-06-22,2.6,133
"173",2013-06-23,2.4,89
"174",2013-06-24,4.2,68
"175",2013-06-25,4.7,87
"176",2013-06-26,5.9,90
"177",2013-06-27,7.4,70
"178",2013-06-28,5.6,62
"179",2013-06-29,3.2,340
"180",2013-06-30,3.4,344
"181",2013-07-01,2.7,351
"182",2013-07-02,2.1,350
"183",2013-07-03,3.1,64
"184",2013-07-04,9.7,46
"185",2013-07-05,6.7,11
"186",2013-07-06,5.2,339
"187",2013-07-07,3.6,309
"188",2013-07-08,3.2,266
"189",2013-07-09,3.2,331
"190",2013-07-10,2,194
"191",2013-07-11,3.3,29
"192",2013-07-12,3,123
"193",2013-07-13,2.7,153
"194",2013-07-14,4,135
"195",2013-07-15,4.9,180
"196",2013-07-16,5.1,292
"197",2013-07-17,4.5,231
"198",2013-07-18,2.2,109
"199",2013-07-19,1.6,290
"200",2013-07-20,2.1,284
"201",2013-07-21,2.6,298
"202",2013-07-22,2.6,15
"203",2013-07-23,2.1,312
"204",2013-07-24,3.5,311
"205",2013-07-25,3,308
"206",2013-07-26,2.1,244
"207",2013-07-27,3.1,102
"208",2013-07-28,4.2,113
"209",2013-07-29,5.2,40
"210",2013-07-30,1.6,27
"211",2013-07-31,2,73
"212",2013-08-01,2.9,100
"213",2013-08-02,4.2,110
"214",2013-08-03,2.6,244
"215",2013-08-04,1.9,311
"216",2013-08-05,1.5,315
"217",2013-08-06,2.2,360
"218",2013-08-07,2.5,72
"219",2013-08-08,4,110
"220",2013-08-09,2.2,144
"221",2013-08-10,3.2,250
"222",2013-08-11,2.6,84
"223",2013-08-12,2.6,348
"224",2013-08-13,4.9,289
"225",2013-08-14,5.7,319
"226",2013-08-15,4,299
"227",2013-08-16,3,310
"228",2013-08-17,2.1,82
"229",2013-08-18,2.1,145
"230",2013-08-19,1.9,171
"231",2013-08-20,1.5,212
"232",2013-08-21,2.4,37
"233",2013-08-22,4.5,74
"234",2013-08-23,4.2,99
"235",2013-08-24,5.9,85
"236",2013-08-25,3.7,47
"237",2013-08-26,3.4,270
"238",2013-08-27,4.2,256
"239",2013-08-28,2.9,189
"240",2013-08-29,5.7,354
"241",2013-08-30,6.2,1
"242",2013-08-31,7,315
"243",2013-09-01,6.1,255
"244",2013-09-02,4.6,266
"245",2013-09-03,3,175
"246",2013-09-04,4.2,192
"247",2013-09-05,1.5,330
"248",2013-09-06,2.5,21
"249",2013-09-07,3.2,71
"250",2013-09-08,4.6,113
"251",2013-09-09,5.5,132
"252",2013-09-10,4.4,59
"253",2013-09-11,2.9,323
"254",2013-09-12,2.2,57
"255",2013-09-13,1.9,12
"256",2013-09-14,1.9,124
"257",2013-09-15,3.9,295
"258",2013-09-16,4.5,308
"259",2013-09-17,2.9,341
"260",2013-09-18,3.1,331
"261",2013-09-19,2.6,191
"262",2013-09-20,2.7,19
"263",2013-09-21,2.5,338
"264",2013-09-22,2.6,153
"265",2013-09-23,3.1,156
"266",2013-09-24,3.5,158
"267",2013-09-25,4.6,157
"268",2013-09-26,3.2,104
"269",2013-09-27,4.4,260
"270",2013-09-28,6.7,197
"271",2013-09-29,7.6,258
"272",2013-09-30,3.4,169
"273",2013-10-01,3.4,150
"274",2013-10-02,5.5,267
"275",2013-10-03,7.7,242
"276",2013-10-04,6,257
"277",2013-10-05,3.2,360
"278",2013-10-06,4.1,88
"279",2013-10-07,3.5,118
"280",2013-10-08,6.6,262
"281",2013-10-09,8.7,234
"282",2013-10-10,7.5,258
"283",2013-10-11,4,284
"284",2013-10-12,3.4,81
"285",2013-10-13,7.2,174
"286",2013-10-14,8.2,221
"287",2013-10-15,8.2,197
"288",2013-10-16,7,264
"289",2013-10-17,8.1,241
"290",2013-10-18,11.1,235
"291",2013-10-19,7.5,238
"292",2013-10-20,3.1,57
"293",2013-10-21,6,148
"294",2013-10-22,6.1,194
"295",2013-10-23,6.9,263
"296",2013-10-24,4.9,1
"297",2013-10-25,2.4,44
"298",2013-10-26,6.2,201
"299",2013-10-27,6,221
"300",2013-10-28,8.4,233
"301",2013-10-29,7.7,223
"302",2013-10-30,7.6,233
"303",2013-10-31,7,234
"304",2013-11-01,9.4,239
"305",2013-11-02,13,213
"306",2013-11-03,8.9,275
"307",2013-11-04,6.7,233
"308",2013-11-05,7.9,239
