date	ws	wd
01.01.2015	5.4	252
02.01.2015	6.6	253
03.01.2015	1.2	143
04.01.2015	9.5	190
05.01.2015	7.5	207
06.01.2015	6.5	227
07.01.2015	8	207
08.01.2015	5.4	149
09.01.2015	6.1	281
10.01.2015	7.6	227
11.01.2015	5	261
12.01.2015	4.2	132
13.01.2015	10.4	181
14.01.2015	7.6	224
15.01.2015	8.4	214
16.01.2015	6.5	227
17.01.2015	7.2	235
18.01.2015	3.1	251
19.01.2015	5.5	191
20.01.2015	6.7	227
21.01.2015	9.2	263
22.01.2015	7	262
23.01.2015	4.5	294
24.01.2015	3	285
25.01.2015	1.6	267
26.01.2015	2.6	251
27.01.2015	10.2	246
28.01.2015	6.7	261
29.01.2015	4.5	266
30.01.2015	1.9	282
31.01.2015	0.7	98
01.02.2015	1.9	125
02.02.2015	1.2	88
03.02.2015	3.4	200
04.02.2015	1	319
05.02.2015	1.9	264
06.02.2015	3.6	179
07.02.2015	2.2	311
08.02.2015	6.6	188
09.02.2015	12	230
10.02.2015	4.6	233
11.02.2015	2.5	276
12.02.2015	6.6	258
13.02.2015	14	244
14.02.2015	9.9	253
15.02.2015	3.7	264
16.02.2015	4.5	191
17.02.2015	3.7	302
18.02.2015	6.5	269
19.02.2015	3.1	226
20.02.2015	5.1	149
21.02.2015	7.6	240
22.02.2015	5.1	248
23.02.2015	6.1	247
24.02.2015	5.7	240
25.02.2015	6.4	292
26.02.2015	6.4	264
27.02.2015	6.7	266
28.02.2015	5.4	268
01.03.2015	2.1	139
02.03.2015	2	129
03.03.2015	1.4	124
04.03.2015	3.9	129
05.03.2015	2.4	65
06.03.2015	4.2	106
07.03.2015	5.5	107
08.03.2015	4.6	118
09.03.2015	2.4	183
10.03.2015	9	224
11.03.2015	8.5	273
12.03.2015	9.5	252
13.03.2015	7.5	263
14.03.2015	3	327
15.03.2015	8.9	255
16.03.2015	5.4	306
17.03.2015	8.5	265
18.03.2015	7.4	260
19.03.2015	5.9	263
20.03.2015	3.5	269
21.03.2015	5.1	243
22.03.2015	4.5	168
23.03.2015	7.7	220
24.03.2015	5	253
25.03.2015	6.9	247
26.03.2015	11	240
27.03.2015	3.6	296
28.03.2015	4.2	347
29.03.2015	4.9	5
30.03.2015	4.1	289
31.03.2015	3.4	300
01.04.2015	2.4	350
02.04.2015	1.5	17
03.04.2015	1.6	343
04.04.2015	2.9	106
05.04.2015	5	86
06.04.2015	4.1	121
07.04.2015	3.1	227
08.04.2015	5.2	246
09.04.2015	4.2	175
10.04.2015	8.6	170
11.04.2015	2.6	19
12.04.2015	8.6	249
13.04.2015	7.2	269
14.04.2015	3.5	253
15.04.2015	2.1	127
16.04.2015	3	276
17.04.2015	3.7	173
18.04.2015	8.2	201
19.04.2015	7.5	232
20.04.2015	8.2	226
21.04.2015	6.4	192
22.04.2015	3	129
23.04.2015	4.5	121
24.04.2015	9.4	239
25.04.2015	8.5	218
26.04.2015	4.4	232
27.04.2015	9.7	265
28.04.2015	4.7	286
29.04.2015	1.6	205
30.04.2015	3.4	275
01.05.2015	0.9	230
02.05.2015	3.4	35
03.05.2015	7	101
04.05.2015	6.9	145
05.05.2015	3.4	153
06.05.2015	2.2	290
07.05.2015	2.9	37
08.05.2015	4.1	68
09.05.2015	6	149
10.05.2015	8.6	228
11.05.2015	5.1	304
12.05.2015	3.2	344
13.05.2015	1.4	152
14.05.2015	3.9	97
15.05.2015	4.2	101
16.05.2015	5.9	113
17.05.2015	8.2	248
18.05.2015	3.2	200
19.05.2015	5.5	228
20.05.2015	9	210
21.05.2015	8.4	253
22.05.2015	3.9	291
23.05.2015	3.5	312
24.05.2015	5	246
25.05.2015	2.5	5
26.05.2015	3.1	248
27.05.2015	1.4	260
28.05.2015	4.5	312
29.05.2015	2.7	336
30.05.2015	2.1	53
31.05.2015	3.1	321
01.06.2015	1.7	228
02.06.2015	3.9	222
03.06.2015	7	276
04.06.2015	7.4	250
05.06.2015	9.4	296
06.06.2015	6.2	232
07.06.2015	5.5	260
08.06.2015	7.7	274
09.06.2015	5.2	236
10.06.2015	4.6	294
11.06.2015	3.1	201
12.06.2015	8	225
13.06.2015	4.7	228
14.06.2015	4.4	271
15.06.2015	2	284
16.06.2015	2	114
17.06.2015	2.4	155
18.06.2015	4	128
19.06.2015	8.2	266
20.06.2015	2.1	302
21.06.2015	4.7	75
22.06.2015	5.4	166
23.06.2015	5.1	249
24.06.2015	2.9	246
25.06.2015	3	295
26.06.2015	3.5	197
27.06.2015	6.6	278
28.06.2015	7.6	265
29.06.2015	6.9	274
30.06.2015	4	282
01.07.2015	2.1	253
02.07.2015	6.5	280
03.07.2015	2.9	254
04.07.2015	4.5	279
05.07.2015	2.9	280
06.07.2015	5	299
07.07.2015	3.4	272
08.07.2015	3.7	342
09.07.2015	5.7	268
10.07.2015	2.6	311
11.07.2015	2.6	6
12.07.2015	5.9	217
13.07.2015	5.4	310
14.07.2015	4.9	314
15.07.2015	3.5	307
16.07.2015	4.6	224
17.07.2015	7	209
18.07.2015	2.9	163
19.07.2015	6.1	179
20.07.2015	4.5	283
21.07.2015	3.2	294
22.07.2015	4.9	310
23.07.2015	5.5	289
24.07.2015	7	252
25.07.2015	2.6	308
26.07.2015	2.7	43
27.07.2015	4.6	292
28.07.2015	6	253
29.07.2015	3.5	201
30.07.2015	7.7	238
31.07.2015	6.2	236
01.08.2015	7	209
02.08.2015	4.5	244
03.08.2015	1.7	284
04.08.2015	1.7	293
05.08.2015	2.1	252
06.08.2015	2.1	327
07.08.2015	2.6	141
08.08.2015	3.7	185
09.08.2015	2.1	211
10.08.2015	3.4	274
11.08.2015	3.9	201
12.08.2015	2.2	13
13.08.2015	7.2	333
14.08.2015	6.5	276
15.08.2015	5.2	304
16.08.2015	4.1	279
17.08.2015	4.2	258
18.08.2015	1.4	34
19.08.2015	2	0
20.08.2015	4.5	179
21.08.2015	5.1	266
22.08.2015	6.1	324
23.08.2015	4.1	279
