date	ws	wd
24.08.2015	6.4	279
25.08.2015	2.6	30
26.08.2015	1.7	59
27.08.2015	2.7	77
28.08.2015	2.4	84
29.08.2015	4.7	226
30.08.2015	8.7	255
31.08.2015	6.4	254
01.09.2015	4.5	244
02.09.2015	1.7	284
03.09.2015	1.7	293
04.09.2015	2.1	252
05.09.2015	2.1	327
06.09.2015	2.6	141
07.09.2015	3.7	185
08.09.2015	2.1	211
09.09.2015	3.4	274
10.09.2015	3.9	201
11.09.2015	2.2	13
12.09.2015	7.2	333
13.09.2015	6.5	276
14.09.2015	5.2	304
15.09.2015	4.1	279
16.09.2015	4.2	258
17.09.2015	1.4	34
18.09.2015	2	0
19.09.2015	4.5	179
20.09.2015	5.1	266
21.09.2015	6.1	324
22.09.2015	4.1	279
23.09.2015	6.4	279
24.09.2015	2.6	30
25.09.2015	1.7	59
26.09.2015	2.7	77
27.09.2015	2.4	84
28.09.2015	4.7	226
29.09.2015	8.7	255
30.09.2015	6.4	254
01.10.2015	5.1	271
02.10.2015	1.4	326
03.10.2015	7	243
04.10.2015	11.5	254
05.10.2015	8.7	281
06.10.2015	9.5	233
07.10.2015	4.9	192
08.10.2015	3.4	154
09.10.2015	7.4	235
10.10.2015	2.2	214
11.10.2015	2.6	144
12.10.2015	3.2	209
13.10.2015	6.1	248
14.10.2015	7.6	264
15.10.2015	4	261
16.10.2015	4	237
17.10.2015	2.4	352
18.10.2015	8.5	229
19.10.2015	8.7	234
20.10.2015	8.9	221
21.10.2015	5.2	80
22.10.2015	6.4	343
23.10.2015	7.2	279
24.10.2015	8.7	251
25.10.2015	7.9	229
26.10.2015	3.9	290
27.10.2015	5.6	150
28.10.2015	5	166
29.10.2015	5	226
30.10.2015	8.1	211
31.10.2015	8.6	259
01.11.2015	4	265
02.11.2015	6.6	239
03.11.2015	11	203
04.11.2015	10	195
05.11.2015	6.4	172
06.11.2015	6.4	222
07.11.2015	6.7	289
08.11.2015	8	264
09.11.2015	6.6	262
10.11.2015	1.4	295
11.11.2015	2.1	106
12.11.2015	4.5	118
13.11.2015	5.9	102
14.11.2015	6.1	102
15.11.2015	4.1	104
16.11.2015	4.6	116
17.11.2015	4.7	108
18.11.2015	4.4	103
19.11.2015	7.1	109
20.11.2015	5.9	83
21.11.2015	0.9	79
22.11.2015	2.5	111
23.11.2015	9	225
24.11.2015	14	247
25.11.2015	6.6	252
26.11.2015	4.5	218
27.11.2015	4.5	212
28.11.2015	10	220
29.11.2015	9	261
30.11.2015	3	229
01.12.2015	2.2	264
02.12.2015	4.4	134
03.12.2015	4.2	138
04.12.2015	4	171
05.12.2015	7.6	254
06.12.2015	7.2	240
07.12.2015	8.6	210
08.12.2015	15.5	217
09.12.2015	12.2	235
10.12.2015	7.6	255
11.12.2015	9.9	228
12.12.2015	9.6	236
13.12.2015	6.5	217
14.12.2015	6.7	197
15.12.2015	4.1	225
16.12.2015	4.1	143
17.12.2015	12.1	221
18.12.2015	7.6	180
19.12.2015	5.2	271
20.12.2015	6	259
21.12.2015	3	256
22.12.2015	8.4	181
23.12.2015	8.7	211
24.12.2015	8.9	239
25.12.2015	8	198
26.12.2015	11.6	210
27.12.2015	8.5	229
28.12.2015	5.4	167
29.12.2015	10	244
30.12.2015	2.9	319
31.12.2015	1.4	285
