"date","ws","wd"
"203",2015-07-22,4.9,310
"204",2015-07-23,5.5,289
"205",2015-07-24,7,252
"206",2015-07-25,2.6,308
"207",2015-07-26,2.7,43
"208",2015-07-27,4.6,292
"209",2015-07-28,6,253
"210",2015-07-29,3.5,201
"211",2015-07-30,7.7,238
"212",2015-07-31,6.2,236
"213",2015-08-01,7,209
"214",2015-08-02,4.5,244
"215",2015-08-03,1.7,284
"216",2015-08-04,1.7,293
"217",2015-08-05,2.1,252
"218",2015-08-06,2.1,327
"219",2015-08-07,2.6,141
"220",2015-08-08,3.7,185
"221",2015-08-09,2.1,211
"222",2015-08-10,3.4,274
"223",2015-08-11,3.9,201
"224",2015-08-12,2.2,13
"225",2015-08-13,7.2,333
"226",2015-08-14,6.5,276
"227",2015-08-15,5.2,304
"228",2015-08-16,4.1,279
"229",2015-08-17,4.2,258
"230",2015-08-18,1.4,34
"231",2015-08-19,2,360
"232",2015-08-20,4.5,179
"233",2015-08-21,5.1,266
"234",2015-08-22,6.1,324
"235",2015-08-23,4.1,279
"236",2015-08-24,6.4,279
"237",2015-08-25,2.6,30
"238",2015-08-26,1.7,59
"239",2015-08-27,2.7,77
"240",2015-08-28,2.4,84
"241",2015-08-29,4.7,226
"242",2015-08-30,8.7,255
"243",2015-08-31,6.4,254
"244",2015-09-01,4.5,244
"245",2015-09-02,1.7,284
"246",2015-09-03,1.7,293
"247",2015-09-04,2.1,252
"248",2015-09-05,2.1,327
"249",2015-09-06,2.6,141
"250",2015-09-07,3.7,185
"251",2015-09-08,2.1,211
"252",2015-09-09,3.4,274
"253",2015-09-10,3.9,201
"254",2015-09-11,2.2,13
"255",2015-09-12,7.2,333
"256",2015-09-13,6.5,276
"257",2015-09-14,5.2,304
"258",2015-09-15,4.1,279
"259",2015-09-16,4.2,258
"260",2015-09-17,1.4,34
"261",2015-09-18,2,360
"262",2015-09-19,4.5,179
"263",2015-09-20,5.1,266
"264",2015-09-21,6.1,324
"265",2015-09-22,4.1,279
"266",2015-09-23,6.4,279
"267",2015-09-24,2.6,30
"268",2015-09-25,1.7,59
"269",2015-09-26,2.7,77
"270",2015-09-27,2.4,84
"271",2015-09-28,4.7,226
"272",2015-09-29,8.7,255
"273",2015-09-30,6.4,254
"274",2015-10-01,5.1,271
"275",2015-10-02,1.4,326
"276",2015-10-03,7,243
"277",2015-10-04,11.5,254
"278",2015-10-05,8.7,281
"279",2015-10-06,9.5,233
"280",2015-10-07,4.9,192
"281",2015-10-08,3.4,154
"282",2015-10-09,7.4,235
"283",2015-10-10,2.2,214
"284",2015-10-11,2.6,144
"285",2015-10-12,3.2,209
"286",2015-10-13,6.1,248
"287",2015-10-14,7.6,264
"288",2015-10-15,4,261
"289",2015-10-16,4,237
"290",2015-10-17,2.4,352
"291",2015-10-18,8.5,229
"292",2015-10-19,8.7,234
"293",2015-10-20,8.9,221
"294",2015-10-21,5.2,80
"295",2015-10-22,6.4,343
"296",2015-10-23,7.2,279
"297",2015-10-24,8.7,251
"298",2015-10-25,7.9,229
"299",2015-10-26,3.9,290
"300",2015-10-27,5.6,150
"301",2015-10-28,5,166
"302",2015-10-29,5,226
"303",2015-10-30,8.1,211
"304",2015-10-31,8.6,259
"305",2015-11-01,4,265
"306",2015-11-02,6.6,239
"307",2015-11-03,11,203
"308",2015-11-04,10,195
"309",2015-11-05,6.4,172
"310",2015-11-06,6.4,222
"311",2015-11-07,6.7,289
"312",2015-11-08,8,264
"313",2015-11-09,6.6,262
"314",2015-11-10,1.4,295
"315",2015-11-11,2.1,106
"316",2015-11-12,4.5,118
"317",2015-11-13,5.9,102
"318",2015-11-14,6.1,102
"319",2015-11-15,4.1,104
"320",2015-11-16,4.6,116
"321",2015-11-17,4.7,108
"322",2015-11-18,4.4,103
"323",2015-11-19,7.1,109
"324",2015-11-20,5.9,83
"325",2015-11-21,0.9,79
"326",2015-11-22,2.5,111
"327",2015-11-23,9,225
"328",2015-11-24,14,247
"329",2015-11-25,6.6,252
"330",2015-11-26,4.5,218
"331",2015-11-27,4.5,212
"332",2015-11-28,10,220
"333",2015-11-29,9,261
"334",2015-11-30,3,229
"335",2015-12-01,2.2,264
"336",2015-12-02,4.4,134
"337",2015-12-03,4.2,138
"338",2015-12-04,4,171
"339",2015-12-05,7.6,254
"340",2015-12-06,7.2,240
"341",2015-12-07,8.6,210
"342",2015-12-08,15.5,217
"343",2015-12-09,12.2,235
"344",2015-12-10,7.6,255
"345",2015-12-11,9.9,228
"346",2015-12-12,9.6,236
"347",2015-12-13,6.5,217
"348",2015-12-14,6.7,197
"349",2015-12-15,4.1,225
"350",2015-12-16,4.1,143
"351",2015-12-17,12.1,221
"352",2015-12-18,7.6,180
"353",2015-12-19,5.2,271
"354",2015-12-20,6,259
"355",2015-12-21,3,256
"356",2015-12-22,8.4,181
"357",2015-12-23,8.7,211
"358",2015-12-24,8.9,239
"359",2015-12-25,8,198
"360",2015-12-26,11.6,210
"361",2015-12-27,8.5,229
"362",2015-12-28,5.4,167
"363",2015-12-29,10,244
"364",2015-12-30,2.9,319
"365",2015-12-31,1.4,285
