	date	ws	wd
1	01.01.2015	5.4	252
2	02.01.2015	6.6	253
3	03.01.2015	1.2	143
4	04.01.2015	9.5	190
5	05.01.2015	7.5	207
6	06.01.2015	6.5	227
7	07.01.2015	8	207
8	08.01.2015	5.4	149
9	09.01.2015	6.1	281
10	10.01.2015	7.6	227
11	11.01.2015	5	261
12	12.01.2015	4.2	132
13	13.01.2015	10.4	181
14	14.01.2015	7.6	224
15	15.01.2015	8.4	214
16	16.01.2015	6.5	227
17	17.01.2015	7.2	235
18	18.01.2015	3.1	251
19	19.01.2015	5.5	191
20	20.01.2015	6.7	227
21	21.01.2015	9.2	263
22	22.01.2015	7	262
23	23.01.2015	4.5	294
24	24.01.2015	3	285
25	25.01.2015	1.6	267
26	26.01.2015	2.6	251
27	27.01.2015	10.2	246
28	28.01.2015	6.7	261
29	29.01.2015	4.5	266
30	30.01.2015	1.9	282
31	31.01.2015	0.7	98
32	01.02.2015	1.9	125
33	02.02.2015	1.2	88
34	03.02.2015	3.4	200
35	04.02.2015	1	319
36	05.02.2015	1.9	264
37	06.02.2015	3.6	179
38	07.02.2015	2.2	311
39	08.02.2015	6.6	188
40	09.02.2015	12	230
41	10.02.2015	4.6	233
42	11.02.2015	2.5	276
43	12.02.2015	6.6	258
44	13.02.2015	14	244
45	14.02.2015	9.9	253
46	15.02.2015	3.7	264
47	16.02.2015	4.5	191
48	17.02.2015	3.7	302
49	18.02.2015	6.5	269
50	19.02.2015	3.1	226
51	20.02.2015	5.1	149
52	21.02.2015	7.6	240
53	22.02.2015	5.1	248
54	23.02.2015	6.1	247
55	24.02.2015	5.7	240
56	25.02.2015	6.4	292
57	26.02.2015	6.4	264
58	27.02.2015	6.7	266
59	28.02.2015	5.4	268
60	01.03.2015	2.1	139
61	02.03.2015	2	129
62	03.03.2015	1.4	124
63	04.03.2015	3.9	129
64	05.03.2015	2.4	65
65	06.03.2015	4.2	106
66	07.03.2015	5.5	107
67	08.03.2015	4.6	118
68	09.03.2015	2.4	183
69	10.03.2015	9	224
70	11.03.2015	8.5	273
71	12.03.2015	9.5	252
72	13.03.2015	7.5	263
73	14.03.2015	3	327
74	15.03.2015	8.9	255
75	16.03.2015	5.4	306
76	17.03.2015	8.5	265
77	18.03.2015	7.4	260
78	19.03.2015	5.9	263
79	20.03.2015	3.5	269
80	21.03.2015	5.1	243
81	22.03.2015	4.5	168
82	23.03.2015	7.7	220
83	24.03.2015	5	253
84	25.03.2015	6.9	247
85	26.03.2015	11	240
86	27.03.2015	3.6	296
87	28.03.2015	4.2	347
88	29.03.2015	4.9	5
89	30.03.2015	4.1	289
90	31.03.2015	3.4	300
91	01.04.2015	2.4	350
