date	ws	wd
01.01.2014	7	220
02.01.2014	7.8	247
03.01.2014	6.6	255
04.01.2014	6.6	276
05.01.2014	6	258
06.01.2014	9.6	251
07.01.2014	6	201
08.01.2014	4.6	203
09.01.2014	7	223
10.01.2014	7.5	169
11.01.2014	7.5	169
12.01.2014	3.9	183
13.01.2014	5	177
14.01.2014	5.2	233
15.01.2014	4.4	149
16.01.2014	7.9	215
17.01.2014	7.6	248
18.01.2014	7.2	166
19.01.2014	8.2	223
20.01.2014	9.1	171
21.01.2014	10.6	256
22.01.2014	9.7	254
23.01.2014	3.6	262
24.01.2014	5.9	253
25.01.2014	2.6	296
26.01.2014	4.7	115
27.01.2014	4.5	337
28.01.2014	5.2	214
29.01.2014	2.9	325
30.01.2014	1.1	348
31.01.2014	8.5	267
01.02.2014	7	267
02.02.2014	4.6	283
03.02.2014	1.9	273
04.02.2014	2.6	235
05.02.2014	5.6	179
06.02.2014	6.4	155
07.02.2014	4.6	94
08.02.2014	1.7	88
09.02.2014	2.2	265
10.02.2014	1.6	220
11.02.2014	3.4	187
12.02.2014	2	256
13.02.2014	1.2	129
14.02.2014	4	124
15.02.2014	3.7	137
16.02.2014	5.7	175
17.02.2014	7	217
18.02.2014	2.2	245
19.02.2014	4.9	195
20.02.2014	9	218
21.02.2014	4.3	
22.02.2014	6.4	283
23.02.2014	5.1	345
24.02.2014	6	276
25.02.2014	8.2	245
26.02.2014	10.4	233
27.02.2014	5.5	222
28.02.2014	7.6	283
01.03.2014	4.1	273
02.03.2014	3.5	244
03.03.2014	2.5	259
04.03.2014	1.6	291
05.03.2014	1.1	298
06.03.2014	2.2	288
07.03.2014	5.5	297
08.03.2014	5	266
09.03.2014	5.1	235
10.03.2014	7	187
11.03.2014	11.4	237
12.03.2014	9.6	219
13.03.2014	9.6	191
14.03.2014	11.7	218
15.03.2014	11.2	226
16.03.2014	9.4	229
17.03.2014	3.6	160
18.03.2014	6	159
19.03.2014	14	210
20.03.2014	16	231
21.03.2014	10.6	207
22.03.2014	3.5	230
23.03.2014	7.2	245
24.03.2014	2.7	324
25.03.2014	5.9	213
26.03.2014	9	245
27.03.2014	9.9	269
28.03.2014	5	223
29.03.2014	6.1	169
30.03.2014	9.2	212
31.03.2014	7.6	176
01.04.2014	5.9	238
02.04.2014	5.1	114
03.04.2014	7.2	207
04.04.2014	3.5	209
05.04.2014	4.1	238
06.04.2014	4.6	159
07.04.2014	9.1	220
08.04.2014	12	231
09.04.2014	9.9	215
10.04.2014	2.6	354
11.04.2014	5.2	301
12.04.2014	1.2	335
13.04.2014	3.4	241
14.04.2014	5.7	270
15.04.2014	2.6	292
16.04.2014	1.6	235
17.04.2014	2.5	255
18.04.2014	4.1	248
19.04.2014	3	289
20.04.2014	3.9	266
21.04.2014	7.2	273
22.04.2014	8.1	333
23.04.2014	7.9	238
24.04.2014	7.7	210
25.04.2014	8.6	198
26.04.2014	17	233
27.04.2014	8.6	264
28.04.2014	6.6	264
29.04.2014	4.2	259
30.04.2014	7.4	245
01.05.2014	3.5	166
02.05.2014	5	225
03.05.2014	3.5	262
04.05.2014	8.4	234
05.05.2014	3	10
06.05.2014	5.7	119
07.05.2014	6.6	153
08.05.2014	6.2	273
09.05.2014	5.4	297
10.05.2014	3.4	337
11.05.2014	2	166
12.05.2014	3.4	254
13.05.2014	6.7	285
14.05.2014	1.5	323
15.05.2014	2.1	170
16.05.2014	3.9	278
17.05.2014	5	349
18.05.2014	5.4	85
19.05.2014	6.1	58
20.05.2014	4.9	226
21.05.2014	5.2	329
22.05.2014	3.6	252
23.05.2014	3.4	251
24.05.2014	8	275
25.05.2014	5.7	267
26.05.2014	6.2	278
27.05.2014	3.4	252
28.05.2014	2.5	317
29.05.2014	5.2	354
30.05.2014	5.7	318
31.05.2014	1.7	326
01.06.2014	3.9	308
02.06.2014	2.9	203
03.06.2014	3.9	278
04.06.2014	3.5	326
05.06.2014	2.6	267
06.06.2014	4.1	284
07.06.2014	4.1	342
08.06.2014	4	300
09.06.2014	4.4	243
10.06.2014	6	226
11.06.2014	2.9	354
12.06.2014	4.4	134
13.06.2014	3.6	90
14.06.2014	3.2	147
15.06.2014	6.4	215
16.06.2014	6.7	239
17.06.2014	4.6	260
18.06.2014	2.6	251
19.06.2014	1.5	247
20.06.2014	4.2	122
21.06.2014	4.9	328
22.06.2014	3.9	349
23.06.2014	3.2	16
24.06.2014	1.6	144
25.06.2014	2.1	172
26.06.2014	3	305
27.06.2014	4.2	166
28.06.2014	3.4	357
29.06.2014	1.6	6
30.06.2014	5.4	185
01.07.2014	3.2	304
02.07.2014	5.4	260
03.07.2014	5	331
04.07.2014	3.1	328
05.07.2014	2	314
06.07.2014	1.7	329
07.07.2014	1.5	231
08.07.2014	4.2	327
09.07.2014	3.9	125
10.07.2014	4.9	124
11.07.2014	3.4	41
12.07.2014	6.6	267
13.07.2014	6.5	220
14.07.2014	7.2	240
15.07.2014	2.5	344
16.07.2014	4.5	309
17.07.2014	4.2	251
18.07.2014	3.6	338
19.07.2014	2.4	8
20.07.2014	5.4	90
21.07.2014	7.4	191
22.07.2014	7.2	212
23.07.2014	7.9	215
24.07.2014	6.2	294
25.07.2014	3.4	261
26.07.2014	2.6	281
27.07.2014	1.7	123
28.07.2014	3.7	0
29.07.2014	5	293
30.07.2014	3.9	295
31.07.2014	3.2	249
01.08.2014	3.7	154
02.08.2014	4.1	156
03.08.2014	2.4	94
04.08.2014	2.1	39
05.08.2014	1.7	53
06.08.2014	2.1	9
07.08.2014	3.6	306
08.08.2014	2.4	8
09.08.2014	1.9	320
10.08.2014	2.4	249
11.08.2014	3.4	159
12.08.2014	5.1	251
13.08.2014	5	277
14.08.2014	3.6	310
15.08.2014	5.9	311
16.08.2014	4.9	285
17.08.2014	2.6	246
18.08.2014	3.9	223
19.08.2014	4.2	247
20.08.2014	1.5	336
21.08.2014	6.7	191
22.08.2014	2.9	148
23.08.2014	1.7	94
24.08.2014	5.4	238
25.08.2014	3.9	313
26.08.2014	5.2	330
27.08.2014	1.4	140
28.08.2014	4.7	175
29.08.2014	4.1	163
30.08.2014	7.5	194
31.08.2014	3.9	280
01.09.2014	3.2	299
02.09.2014	2.5	345
03.09.2014	3	236
04.09.2014	2.1	321
05.09.2014	2.2	133
06.09.2014	4.9	234
07.09.2014	6.6	265
08.09.2014	6.6	269
09.09.2014	6.2	290
10.09.2014	4.1	300
11.09.2014	4.1	298
12.09.2014	9	267
13.09.2014	3.2	277
14.09.2014	3.7	262
15.09.2014	3	18
16.09.2014	3.9	211
17.09.2014	6.5	221
18.09.2014	7	273
19.09.2014	9.7	265
20.09.2014	7.2	255
21.09.2014	4	265
22.09.2014	0.9	235
23.09.2014	1.2	119
24.09.2014	2.9	100
25.09.2014	3.1	107
26.09.2014	4.7	74
27.09.2014	7.5	82
28.09.2014	4	57
29.09.2014	2.6	288
30.09.2014	2.5	232
01.10.2014	5.7	242
02.10.2014	9.1	180
03.10.2014	5.4	202
04.10.2014	7.2	231
05.10.2014	9.2	245
06.10.2014	6.5	265
07.10.2014	4.1	310
08.10.2014	4.9	302
09.10.2014	4.5	259
10.10.2014	9	236
11.10.2014	9.9	236
12.10.2014	3.4	311
13.10.2014	4.1	248
14.10.2014	8.7	239
15.10.2014	4.2	270
16.10.2014	5.4	277
17.10.2014	5.1	87
18.10.2014	5.2	128
19.10.2014	5.6	172
20.10.2014	6.4	253
21.10.2014	9.6	248
22.10.2014	7.4	197
23.10.2014	5.4	197
24.10.2014	6.7	244
25.10.2014	7.4	250
26.10.2014	5.6	263
27.10.2014	6.9	272
28.10.2014	9	229
29.10.2014	12	240
30.10.2014	6.9	246
31.10.2014	7	222
01.11.2014	5.7	237
02.11.2014	1.4	214
03.11.2014	3.4	80
04.11.2014	4.4	102
05.11.2014	3	253
06.11.2014	3.5	267
07.11.2014	7.9	255
08.11.2014	3.7	310
09.11.2014	2.5	332
10.11.2014	6.6	167
11.11.2014	6.6	217
12.11.2014	3.9	286
13.11.2014	5.5	230
14.11.2014	6.1	241
15.11.2014	5.7	275
16.11.2014	2	234
17.11.2014	3.7	38
18.11.2014	5.5	283
19.11.2014	9.2	254
20.11.2014	9.2	244
21.11.2014	8.6	261
22.11.2014	6.6	244
23.11.2014	8.7	266
24.11.2014	6.1	291
25.11.2014	12	252
26.11.2014	10	252
27.11.2014	7.2	303
28.11.2014	3	284
29.11.2014	3.7	171
30.11.2014	3.7	230
01.12.2014	6.2	223
02.12.2014	3.1	211
03.12.2014	5	127
04.12.2014	8	233
05.12.2014	9.5	200
06.12.2014	5	253
07.12.2014	6.1	275
08.12.2014	9.9	238
09.12.2014	8.1	260
10.12.2014	7.5	258
11.12.2014	8.6	239
12.12.2014	6.4	287
13.12.2014	2.1	194
14.12.2014	3.1	153
15.12.2014	5.9	195
16.12.2014	3.7	266
17.12.2014	0.5	99
18.12.2014	0.6	258
19.12.2014	1	283
20.12.2014	2	250
21.12.2014	4.1	169
22.12.2014	3.6	174
23.12.2014	7.2	179
24.12.2014	6.7	181
25.12.2014	6.1	211
26.12.2014	11.4	226
27.12.2014	10.5	250
28.12.2014	8.9	259
29.12.2014	4.4	171
30.12.2014	6.4	218
31.12.2014	5.6	178
