	date	ws	wd
1	01.01.2016	2.6	66
2	02.01.2016	3.1	65
3	03.01.2016	5.2	104
4	04.01.2016	4.7	83
5	05.01.2016	5.1	76
6	06.01.2016	2.6	48
7	07.01.2016	2.7	233
8	08.01.2016	1.6	265
9	09.01.2016	2.9	157
10	10.01.2016	7.4	149
11	11.01.2016	7.2	144
12	12.01.2016	6.5	212
13	13.01.2016	7	252
14	14.01.2016	4.6	265
15	15.01.2016	3.6	127
16	16.01.2016	6.4	119
17	17.01.2016	7.7	73
18	18.01.2016	2.6	308
19	19.01.2016	1.1	101
20	20.01.2016	6.1	152
21	21.01.2016	6.4	164
22	22.01.2016	4.5	211
23	23.01.2016	2.6	86
24	24.01.2016	7.1	113
25	25.01.2016	5.1	105
26	26.01.2016	5.4	110
27	27.01.2016	5.6	118
28	28.01.2016	2.5	127
29	29.01.2016	2	130
30	30.01.2016	2.2	187
31	31.01.2016	3.4	148
32	01.02.2016	1.7	271
33	02.02.2016	1.5	270
34	03.02.2016	6.2	169
35	04.02.2016	10.1	185
36	05.02.2016	10.4	235
37	06.02.2016	10.5	233
38	07.02.2016	4.7	173
39	08.02.2016	5.4	307
40	09.02.2016	7	268
41	10.02.2016	5	257
42	11.02.2016	8.9	233
43	12.02.2016	4.6	287
44	13.02.2016	3.4	69
45	14.02.2016	4.1	113
46	15.02.2016	3.1	71
47	16.02.2016	2.4	279
48	17.02.2016	6.2	237
49	18.02.2016	5.9	168
50	19.02.2016	3.2	242
51	20.02.2016	1.7	300
52	21.02.2016	1	61
53	22.02.2016	3	133
54	23.02.2016	4.2	207
55	24.02.2016	4.5	248
56	25.02.2016	1.7	296
57	26.02.2016	6.7	156
58	27.02.2016	9.5	243
59	28.02.2016	4.2	234
60	29.02.2016	4	257
61	01.03.2016	3.1	292
62	02.03.2016	8.5	276
63	03.03.2016	6.1	241
64	04.03.2016	4	213
65	05.03.2016	4.5	53
66	06.03.2016	7.4	109
67	07.03.2016	9.1	117
68	08.03.2016	6.6	140
69	09.03.2016	2.7	23
70	10.03.2016	1.9	9
71	11.03.2016	3.2	122
72	12.03.2016	3.9	167
73	13.03.2016	6.9	185
74	14.03.2016	8.5	257
75	15.03.2016	3.5	312
76	16.03.2016	4.1	130
77	17.03.2016	15.2	223
78	18.03.2016	12.1	225
79	19.03.2016	10.9	203
80	20.03.2016	12	205
81	21.03.2016	10.1	203
82	22.03.2016	8.7	225
83	23.03.2016	4.1	209
84	24.03.2016	6.2	115
85	25.03.2016	8.1	249
86	26.03.2016	4.9	224
87	27.03.2016	4.4	163
88	28.03.2016	3.6	190
89	29.03.2016	3	348
90	30.03.2016	4.2	74
91	31.03.2016	7	108
92	01.04.2016	4.9	118
93	02.04.2016	4.5	229
94	03.04.2016	5.2	239
95	04.04.2016	3	269
96	05.04.2016	3.9	126
97	06.04.2016	6.4	182
98	07.04.2016	4.7	170
99	08.04.2016	3.6	222
100	09.04.2016	5.6	272
101	10.04.2016	6.9	252
102	11.04.2016	8.4	261
103	12.04.2016	4.1	282
104	13.04.2016	3.4	281
105	14.04.2016	4.1	218
106	15.04.2016	3.1	194
107	16.04.2016	4.5	195
108	17.04.2016	3.5	323
109	18.04.2016	3.5	128
110	19.04.2016	4.7	221
111	20.04.2016	5.7	198
112	21.04.2016	4.9	196
113	22.04.2016	4.5	284
114	23.04.2016	2.7	215
115	24.04.2016	5.2	261
116	25.04.2016	5.4	276
117	26.04.2016	4.5	294
118	27.04.2016	2.7	321
119	28.04.2016	3.2	327
120	29.04.2016	3.1	304
121	30.04.2016	3.2	278
122	01.05.2016	1.7	183
123	02.05.2016	4.7	47
124	03.05.2016	3.7	91
125	04.05.2016	4.1	114
126	05.05.2016	2.2	92
127	06.05.2016	2.1	244
128	07.05.2016	2.9	225
129	08.05.2016	4.1	4
130	09.05.2016	1.9	60
131	10.05.2016	6.4	188
132	11.05.2016	8.2	268
133	12.05.2016	4.5	266
134	13.05.2016	8.2	216
135	14.05.2016	5	296
136	15.05.2016	7.6	48
137	16.05.2016	4.7	48
138	17.05.2016	2.4	32
139	18.05.2016	2.2	317
140	19.05.2016	2.1	226
141	20.05.2016	1.2	111
142	21.05.2016	4	142
143	22.05.2016	3.6	117
144	23.05.2016	3.2	101
145	24.05.2016	4.1	104
146	25.05.2016	2.7	22
147	26.05.2016	2.7	336
148	27.05.2016	1.5	293
149	28.05.2016	3.5	283
150	29.05.2016	4	28
151	30.05.2016	4.9	308
152	31.05.2016	4.2	335
153	01.06.2016	3.7	317
154	02.06.2016	2.2	356
155	03.06.2016	3.7	109
156	04.06.2016	5.5	134
157	05.06.2016	7.5	221
158	06.06.2016	4.4	268
159	07.06.2016	1.5	115
160	08.06.2016	4.7	33
161	09.06.2016	2.6	327
162	10.06.2016	2.6	334
163	11.06.2016	4.6	74
164	12.06.2016	7.2	177
165	13.06.2016	8.1	215
166	14.06.2016	7.7	266
167	15.06.2016	4.9	289
168	16.06.2016	2.1	300
169	17.06.2016	3.9	289
170	18.06.2016	5	309
171	19.06.2016	5.2	313
172	20.06.2016	3.2	329
173	21.06.2016	3.1	6
174	22.06.2016	2.6	25
175	23.06.2016	2.4	272
176	24.06.2016	1.9	174
177	25.06.2016	2.6	127
178	26.06.2016	5.4	267
179	27.06.2016	5.6	279
180	28.06.2016	7.5	205
181	29.06.2016	5.9	250
182	30.06.2016	7.6	255
183	01.07.2016	6.7	268
184	02.07.2016	3.7	285
185	03.07.2016	3.9	313
186	04.07.2016	3.9	295
187	05.07.2016	3.4	288
188	06.07.2016	3.4	291
189	07.07.2016	2.7	254
190	08.07.2016	3.7	299
191	09.07.2016	2.5	311
192	10.07.2016	2.5	250
193	11.07.2016	1.6	41
194	12.07.2016	3.2	104
195	13.07.2016	6.4	188
196	14.07.2016	3.5	268
197	15.07.2016	5.6	247
198	16.07.2016	4.6	263
199	17.07.2016	3.2	323
200	18.07.2016	3.6	351
201	19.07.2016	3.6	32
202	20.07.2016	3.4	352
203	21.07.2016	4.5	16
204	22.07.2016	4.9	14
205	23.07.2016	3.2	326
206	24.07.2016	4	304
207	25.07.2016	4.1	303
208	26.07.2016	4	36
209	27.07.2016	3.5	21
210	28.07.2016	3.5	30
211	29.07.2016	0.7	354
212	30.07.2016	3.5	275
213	31.07.2016	3	309
214	01.08.2016	3.2	26
215	02.08.2016	1.4	151
216	03.08.2016	2.7	236
217	04.08.2016	2	88
218	05.08.2016	2	165
219	06.08.2016	2.4	310
220	07.08.2016	4.6	311
221	08.08.2016	2.5	286
222	09.08.2016	2.7	302
223	10.08.2016	2.1	54
224	11.08.2016	2.4	100
225	12.08.2016	2.9	74
226	13.08.2016	4	71
227	14.08.2016	2.5	64
228	15.08.2016	2	343
229	16.08.2016	3.1	258
230	17.08.2016	2.4	46
231	18.08.2016	2.7	51
232	19.08.2016	1.9	345
233	20.08.2016	3.1	18
234	21.08.2016	2.4	45
235	22.08.2016	1.5	48
236	23.08.2016	1.6	172
237	24.08.2016	1.4	208
238	25.08.2016	1.2	277
239	26.08.2016	3.1	254
240	27.08.2016	3.4	238
241	28.08.2016	3.5	294
242	29.08.2016	5.7	250
243	30.08.2016	6.6	299
244	31.08.2016	4	249
245	01.09.2016	4	230
246	02.09.2016	6.9	141
247	03.09.2016	6.9	143
248	04.09.2016	4.2	202
249	05.09.2016	4.7	237
250	06.09.2016	2.2	252
251	07.09.2016	3.4	248
252	08.09.2016	3.2	144
253	09.09.2016	2.7	244
254	10.09.2016	6.7	212
255	11.09.2016	4.4	331
256	12.09.2016	6.1	209
257	13.09.2016	3.5	226
258	14.09.2016	5.5	175
259	15.09.2016	5.2	177
260	16.09.2016	5.5	162
261	17.09.2016	5.6	246
262	18.09.2016	2	166
263	19.09.2016	4	172
264	20.09.2016	2.6	268
265	21.09.2016	2.5	293
266	22.09.2016	1.5	96
267	23.09.2016	3	82
268	24.09.2016	2.4	68
269	25.09.2016	3	74
270	26.09.2016	1.5	109
271	27.09.2016	2.4	117
272	28.09.2016	2.5	98
273	29.09.2016	2.4	122
274	30.09.2016	4.2	84
275	01.10.2016	2.7	355
276	02.10.2016	3.5	256
277	03.10.2016	4.5	282
278	04.10.2016	2.2	288
279	05.10.2016	3.5	129
280	06.10.2016	7	265
281	07.10.2016	5.2	330
282	08.10.2016	2.4	281
283	09.10.2016	4.4	150
284	10.10.2016	3.9	272
285	11.10.2016	2.6	104
286	12.10.2016	2	355
287	13.10.2016	3	3
288	14.10.2016	7.2	234
289	15.10.2016	4.4	302
290	16.10.2016	2.4	15
291	17.10.2016	2.5	58
292	18.10.2016	2	120
293	19.10.2016	4.9	227
294	20.10.2016	3.9	286
295	21.10.2016	2.5	355
296	22.10.2016	2.1	6
297	23.10.2016	2.4	351
298	24.10.2016	6.6	274
299	25.10.2016	5.7	326
300	26.10.2016	5	274
301	27.10.2016	6.2	259
302	28.10.2016	2.9	39
303	29.10.2016	5.5	132
304	30.10.2016	3.7	187
305	31.10.2016	4.2	195
306	01.11.2016	5.4	210
307	02.11.2016	8	251
308	03.11.2016	3.1	10
309	04.11.2016	4.4	309
310	05.11.2016	5	179
311	06.11.2016	6.6	199
312	07.11.2016	8.6	252
313	08.11.2016	6.6	245
314	09.11.2016	11.5	243
315	10.11.2016	3.1	267
316	11.11.2016	6.9	270
317	12.11.2016	4.7	0.3
318	13.11.2016	3.6	100
319	14.11.2016	4.6	322
320	15.11.2016	5.5	274
321	16.11.2016	4.6	263
322	17.11.2016	4.2	277
323	18.11.2016	2.7	303
324	19.11.2016	1.5	68
325	20.11.2016	1.7	329
326	21.11.2016	1.9	78
327	22.11.2016	6.2	257
328	23.11.2016	10.5	255
329	24.11.2016	8	245
330	25.11.2016	9.1	230
331	26.11.2016	12.9	243
332	27.11.2016	15	223
333	28.11.2016	13.5	230
334	29.11.2016	6.2	207
335	30.11.2016	6.4	187
336	01.12.2016	6	224
337	02.12.2016	3	354
338	03.12.2016	4.7	118
339	04.12.2016	10	205
340	05.12.2016	12.1	243
341	06.12.2016	5.4	202
342	07.12.2016	10.2	222
343	08.12.2016	13.5	217
344	09.12.2016	8	227
345	10.12.2016	9.9	193
346	11.12.2016	15.9	193
347	12.12.2016	8.1	216
348	13.12.2016	9.7	216
349	14.12.2016	7.4	48
350	15.12.2016	3.9	352
351	16.12.2016	2.6	268
352	17.12.2016	3	269
353	18.12.2016	3.7	169
354	19.12.2016	8.1	214
355	20.12.2016	7.7	214
356	21.12.2016	3.5	302
357	22.12.2016	5.4	116
358	23.12.2016	3.2	35
359	24.12.2016	5	208
360	25.12.2016	8.2	206
361	26.12.2016	4	209
362	27.12.2016	4	199
363	28.12.2016	7.7	251
364	29.12.2016	9.7	240
365	30.12.2016	8.2	251
366	31.12.2016	10.1	233
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
