date	ws	wd
02.01.2013	3.4	175
03.01.2013	5	171
04.01.2013	3.4	116
05.01.2013	4	332
06.01.2013	5.1	195
07.01.2013	5.5	160
08.01.2013	3.6	144
09.01.2013	4.4	100
10.01.2013	5.1	141
11.01.2013	2.7	336
12.01.2013	5.2	131
13.01.2013	4.1	263
14.01.2013	9.2	231
15.01.2013	12.5	218
16.01.2013	4.2	276
17.01.2013	10.1	245
18.01.2013	8.1	252
19.01.2013	7.7	262
20.01.2013	5.7	239
21.01.2013	1.6	191
22.01.2013	3.1	201
23.01.2013	9.4	172
24.01.2013	13	233
25.01.2013	4.2	219
26.01.2013	3	162
27.01.2013	11.6	245
28.01.2013	6.9	259
29.01.2013	5.1	254
30.01.2013	5.7	253
31.01.2013	5.7	257
01.02.2013	2.5	275
02.02.2013	3.4	124
03.02.2013	4.2	126
04.02.2013	3.6	153
05.02.2013	3.1	298
06.02.2013	4.6	273
07.02.2013	3.7	152
08.02.2013	6.5	223
09.02.2013	3.7	311
10.02.2013	5	268
11.02.2013	10.6	256
12.02.2013	8.9	262
13.02.2013	2.4	268
14.02.2013	6.9	233
15.02.2013	8	288
16.02.2013	6.1	283
17.02.2013	4.6	218
18.02.2013	4.1	242
19.02.2013	2.1	279
20.02.2013	0.6	286
21.02.2013	2	133
22.02.2013	3.4	267
23.02.2013	5.1	252
24.02.2013	8	224
25.02.2013	8.7	257
26.02.2013	7.6	243
27.02.2013	9.7	263
28.02.2013	11.1	213
01.03.2013	14.5	219
02.03.2013	9.1	210
03.03.2013	7.2	185
04.03.2013	9.1	247
05.03.2013	11	243
06.03.2013	4.1	107
07.03.2013	5.4	89
08.03.2013	6.6	247
09.03.2013	18	218
10.03.2013	15	246
11.03.2013	8.6	243
12.03.2013	4.7	141
13.03.2013	4	252
14.03.2013	2.9	164
15.03.2013	6.2	197
16.03.2013	4.9	23
17.03.2013	2.4	129
18.03.2013	2.6	269
19.03.2013	2.5	265
20.03.2013	3.5	38
21.03.2013	6.7	129
22.03.2013	7.6	281
