date	ws	wd
23.03.2013	2.7	158
24.03.2013	3.7	213
25.03.2013	3.7	272
26.03.2013	5.9	129
27.03.2013	6.4	159
28.03.2013	8	220
29.03.2013	5.5	240
30.03.2013	3.4	146
31.03.2013	6.6	288
01.04.2013	5.7	323
02.04.2013	5.6	248
03.04.2013	6.1	279
04.04.2013	4.9	174
05.04.2013	9.4	253
06.04.2013	4.1	24
07.04.2013	3.7	184
08.04.2013	4.5	178
09.04.2013	5	180
10.04.2013	5.7	225
11.04.2013	4	182
12.04.2013	5	93
13.04.2013	4	177
14.04.2013	4.6	15
15.04.2013	3	49
16.04.2013	11	81
17.04.2013	7.9	88
18.04.2013	1.9	321
19.04.2013	5.2	304
20.04.2013	3.1	226
21.04.2013	3	292
22.04.2013	6.6	262
23.04.2013	1.6	238
24.04.2013	4	123
25.04.2013	4.9	232
26.04.2013	3	319
27.04.2013	4.1	140
28.04.2013	8.6	191
29.04.2013	11	212
30.04.2013	6.6	242
01.05.2013	11	270
02.05.2013	5.5	254
03.05.2013	7.7	249
04.05.2013	6	286
05.05.2013	9.4	252
06.05.2013	9	285
07.05.2013	3.4	209
08.05.2013	11	232
09.05.2013	3.9	196
10.05.2013	4.9	247
11.05.2013	7.7	278
12.05.2013	4.9	236
13.05.2013	5.4	352
14.05.2013	4.6	249
15.05.2013	6.2	241
16.05.2013	5.5	302
17.05.2013	1.6	60
18.05.2013	5	185
19.05.2013	9	276
20.05.2013	6.6	305
21.05.2013	3.4	293
22.05.2013	6.9	242
23.05.2013	8.7	248
24.05.2013	7.6	295
25.05.2013	5	301
26.05.2013	3.1	291
27.05.2013	2.6	227
28.05.2013	6	262
29.05.2013	4.4	307
30.05.2013	3	321
31.05.2013	2.4	244
01.06.2013	2.9	36
02.06.2013	3.5	44
03.06.2013	3.6	19
04.06.2013	2.5	48
05.06.2013	2	66
06.06.2013	1.6	146
07.06.2013	5	160
08.06.2013	4.5	181
09.06.2013	5	213
10.06.2013	2.9	294
11.06.2013	5.5	283
12.06.2013	6.2	293
13.06.2013	2.6	319
14.06.2013	2	319
15.06.2013	3.5	293
16.06.2013	5.7	356
17.06.2013	2	346
18.06.2013	4.1	286
19.06.2013	2.9	7
20.06.2013	1.7	133
21.06.2013	2.1	92
22.06.2013	2.6	133
23.06.2013	2.4	89
24.06.2013	4.2	68
25.06.2013	4.7	87
26.06.2013	5.9	90
27.06.2013	7.4	70
28.06.2013	5.6	62
29.06.2013	3.2	340
30.06.2013	3.4	344
01.07.2013	2.7	351
02.07.2013	2.1	350
03.07.2013	3.1	64
04.07.2013	9.7	46
05.07.2013	6.7	11
06.07.2013	5.2	339
07.07.2013	3.6	309
08.07.2013	3.2	266
09.07.2013	3.2	331
10.07.2013	2	194
11.07.2013	3.3	29
12.07.2013	3	123
13.07.2013	2.7	153
14.07.2013	4	135
15.07.2013	4.9	180
16.07.2013	5.1	292
17.07.2013	4.5	231
18.07.2013	2.2	109
19.07.2013	1.6	290
20.07.2013	2.1	284
21.07.2013	2.6	298
22.07.2013	2.6	15
23.07.2013	2.1	312
24.07.2013	3.5	311
25.07.2013	3	308
26.07.2013	2.1	244
27.07.2013	3.1	102
28.07.2013	4.2	113
29.07.2013	5.2	40
30.07.2013	1.6	27
31.07.2013	2	73
01.08.2013	2.9	100
02.08.2013	4.2	110
03.08.2013	2.6	244
04.08.2013	1.9	311
05.08.2013	1.5	315
06.08.2013	2.2	360
07.08.2013	2.5	72
08.08.2013	4	110
09.08.2013	2.2	144
10.08.2013	3.2	250
11.08.2013	2.6	84
12.08.2013	2.6	348
13.08.2013	4.9	289
14.08.2013	5.7	319
15.08.2013	4	299
16.08.2013	3	310
17.08.2013	2.1	82
18.08.2013	2.1	145
19.08.2013	1.9	171
20.08.2013	1.5	212
21.08.2013	2.4	37
22.08.2013	4.5	74
23.08.2013	4.2	99
24.08.2013	5.9	85
25.08.2013	3.7	47
26.08.2013	3.4	270
27.08.2013	4.2	256
28.08.2013	2.9	189
29.08.2013	5.7	354
30.08.2013	6.2	1
31.08.2013	7	315
01.09.2013	6.1	255
02.09.2013	4.6	266
03.09.2013	3	175
04.09.2013	4.2	192
05.09.2013	1.5	330
06.09.2013	2.5	21
07.09.2013	3.2	71
08.09.2013	4.6	113
09.09.2013	5.5	132
10.09.2013	4.4	59
11.09.2013	2.9	323
12.09.2013	2.2	57
13.09.2013	1.9	12
14.09.2013	1.9	124
15.09.2013	3.9	295
16.09.2013	4.5	308
17.09.2013	2.9	341
18.09.2013	3.1	331
19.09.2013	2.6	191
20.09.2013	2.7	19
21.09.2013	2.5	338
22.09.2013	2.6	153
23.09.2013	3.1	156
24.09.2013	3.5	158
25.09.2013	4.6	157
26.09.2013	3.2	104
27.09.2013	4.4	260
28.09.2013	6.7	197
29.09.2013	7.6	258
30.09.2013	3.4	169
01.10.2013	3.4	150
02.10.2013	5.5	267
03.10.2013	7.7	242
04.10.2013	6	257
05.10.2013	3.2	360
06.10.2013	4.1	88
07.10.2013	3.5	118
08.10.2013	6.6	262
09.10.2013	8.7	234
10.10.2013	7.5	258
11.10.2013	4	284
12.10.2013	3.4	81
13.10.2013	7.2	174
14.10.2013	8.2	221
15.10.2013	8.2	197
16.10.2013	7	264
17.10.2013	8.1	241
18.10.2013	11.1	235
19.10.2013	7.5	238
20.10.2013	3.1	57
21.10.2013	6	148
22.10.2013	6.1	194
23.10.2013	6.9	263
24.10.2013	4.9	1
25.10.2013	2.4	44
26.10.2013	6.2	201
27.10.2013	6	221
28.10.2013	8.4	233
29.10.2013	7.7	223
30.10.2013	7.6	233
31.10.2013	7	234
01.11.2013	9.4	239
02.11.2013	13	213
03.11.2013	8.9	275
04.11.2013	6.7	233
05.11.2013	7.9	239
06.11.2013	9.9	243
07.11.2013	6	283
08.11.2013	1.7	89
09.11.2013	3.4	150
10.11.2013	5.6	188
11.11.2013	6.2	215
12.11.2013	4.1	259
13.11.2013	11	237
14.11.2013	8.1	264
15.11.2013	5	255
16.11.2013	4.4	202
17.11.2013	6.4	178
18.11.2013	8.9	238
19.11.2013	14	222
20.11.2013	9.4	247
21.11.2013	7.1	278
22.11.2013	8.1	259
23.11.2013	7.2	262
24.11.2013	3	267
25.11.2013	4.5	265
26.11.2013	1.9	233
27.11.2013	3.5	146
28.11.2013	4	214
29.11.2013	5.6	194
30.11.2013	8	213
01.12.2013	9	233
02.12.2013	3.9	240
03.12.2013	7.1	232
04.12.2013	12	210
05.12.2013	4.4	152
06.12.2013	12	219
07.12.2013	10	221
08.12.2013	5.4	199
09.12.2013	2.6	243
10.12.2013	4.4	146
11.12.2013	4.9	215
12.12.2013	3.2	44
13.12.2013	7.7	281
14.12.2013	18	240
15.12.2013	12	202
16.12.2013	6.9	200
17.12.2013	9.2	202
18.12.2013	8.4	213
19.12.2013	6	210
20.12.2013	11	220
21.12.2013	6.2	257
22.12.2013	5.6	288
23.12.2013	2.9	226
24.12.2013	5.9	173
25.12.2013	2.9	165
26.12.2013	7.6	185
27.12.2013	3.1	163
28.12.2013	4.1	221
29.12.2013	8.9	228
30.12.2013	10	254
31.12.2013	7.1	259
