	date	ws	wd
1	01.01.2014	7	220
2	02.01.2014	7.8	247
3	03.01.2014	6.6	255
4	04.01.2014	6.6	276
5	05.01.2014	6	258
6	06.01.2014	9.6	251
7	07.01.2014	6	201
8	08.01.2014	4.6	203
9	09.01.2014	7	223
10	10.01.2014	7.5	169
11	11.01.2014	7.5	169
12	12.01.2014	3.9	183
13	13.01.2014	5	177
14	14.01.2014	5.2	233
15	15.01.2014	4.4	149
16	16.01.2014	7.9	215
17	17.01.2014	7.6	248
18	18.01.2014	7.2	166
19	19.01.2014	8.2	223
20	20.01.2014	9.1	171
21	21.01.2014	10.6	256
22	22.01.2014	9.7	254
23	23.01.2014	3.6	262
24	24.01.2014	5.9	253
25	25.01.2014	2.6	296
26	26.01.2014	4.7	115
27	27.01.2014	4.5	337
28	28.01.2014	5.2	214
29	29.01.2014	2.9	325
30	30.01.2014	1.1	348
31	31.01.2014	8.5	267
32	01.02.2014	7	267
33	02.02.2014	4.6	283
34	03.02.2014	1.9	273
35	04.02.2014	2.6	235
36	05.02.2014	5.6	179
37	06.02.2014	6.4	155
38	07.02.2014	4.6	94
39	08.02.2014	1.7	88
40	09.02.2014	2.2	265
41	10.02.2014	1.6	220
42	11.02.2014	3.4	187
43	12.02.2014	2	256
44	13.02.2014	1.2	129
45	14.02.2014	4	124
46	15.02.2014	3.7	137
47	16.02.2014	5.7	175
48	17.02.2014	7	217
49	18.02.2014	2.2	245
50	19.02.2014	4.9	195
51	20.02.2014	9	218
52	21.02.2014	4.3	
53	22.02.2014	6.4	283
54	23.02.2014	5.1	345
55	24.02.2014	6	276
56	25.02.2014	8.2	245
57	26.02.2014	10.4	233
58	27.02.2014	5.5	222
59	28.02.2014	7.6	283
60	01.03.2014	4.1	273
61	02.03.2014	3.5	244
62	03.03.2014	2.5	259
63	04.03.2014	1.6	291
64	05.03.2014	1.1	298
65	06.03.2014	2.2	288
66	07.03.2014	5.5	297
67	08.03.2014	5	266
68	09.03.2014	5.1	235
69	10.03.2014	7	187
70	11.03.2014	11.4	237
71	12.03.2014	9.6	219
72	13.03.2014	9.6	191
