Sample ID ICP,Sample ID Logbooks,Date,month,Time,Location,Sample description,Sample type,Country,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe-Dis [mg/L]  ,Ca [mg/l],Mg [mg/L],Na [mg/l],K [mg/L],Fe-Tot [mg/L],Al [ug/L],As [ug/L],Ba [ug/L],Cd [ug/L],Co [ug/L],Cr [ug/L],Cu [ug/L],Li [ug/L],Mn [ug/L],Ni [ug/L],Pb [ug/L],Sr [ug/L],Zn [ug/L]
41,95,19-08-2019,8,13:33,"city, Makataeva-Kopernika str. crossing",KA102,streamwater,KZ,43.25161,76.95948,11,8.2,170,80,0.918,0.008,0.01,27.1,3.1,3.7,1,0,7.6,2.4,8.4,2.1,0.1,0.6,3.7,2.2,3.17,,4.31,106.25,2.65
42,96,19-08-2019,8,14:22,Otegen Batyr village,KA103,streamwater,KZ,43.4063,77.01521,18,8.2,590,290,3.18,0.019,0.03,63.6,26.7,36.4,2.6,0,5.8,,44.9,2.4,0.1,1.9,2.3,17.3,5.62,1.18,6.65,807.65,2.16
43,86,20-08-2019,8,07:28,BAL,UA101,reservoir,KZ,43.05687,76.98622,7,8.3,110,50,0.589,0.013,0.01,21,2.4,2.1,0.8,0,19.2,2.9,53.5,1.3,0.1,0.2,3.3,1.2,12,0.44,5.52,140.67,2.69
44,87,20-08-2019,8,08:25,FPP,UA102,streamwater,KZ,43.19164,76.89008,8,8.2,130,60,0.678,0.011,0.01,24.4,2.5,3,1,0,11.7,0.1,27.1,1,0.1,0.2,2.6,1.6,2.42,0.18,3.06,114.36,1.73
45,88,20-08-2019,8,09:05,Darhan,UA103,streamwater,KZ,43.31162,76.86975,13,8.2,170,80,0.815,0.01,0.03,28.3,2.9,5.9,1,0,15.3,,28.6,0.7,0,0.2,2,2.2,2.69,0.01,2.4,162.6,3.1
46,89,20-08-2019,8,09:55,Kazcik,UA104,streamwater,KZ,43.39003,76.88078,15,8.2,200,100,0.813,0.002,0.02,31.3,4.1,7.5,1.3,0,9,2.8,31.3,0.7,0.2,0.1,2.6,2.5,11.65,0.14,2.48,184.34,1.46
47,90,20-08-2019,8,10:56,Kosozen (UA),UA105,streamwater,KZ,43.56118,76.90803,18,8.2,280,130,1.5,0.005,0.01,38,8.1,15.2,1.7,0,6,2.5,31.8,0.6,0.1,0.4,1.2,4.2,1.17,0.58,2.77,295.4,1.81
48,91,20-08-2019,8,11:17,Kaskelen (Kas),Kas106,streamwater,KZ,43.56196,76.89783,18,8.3,460,220,1.36,0.022,0.01,49.5,15.9,33.2,2.4,0,6.4,1.6,35.8,0.7,0,1.4,1.5,7.9,3.82,0.23,3.09,399.28,1.26
49,92,20-08-2019,8,12:40,Arna village,Kas107,streamwater,KZ,43.7784,77.13354,21,8.3,370,180,1.65,0.041,0.01,48.1,15.7,41,2.2,0,7,3.2,34.4,0.6,0.1,2.1,1.2,8.1,2.8,0.76,2.86,467.25,1.19
50,93,20-08-2019,8,14:40,AgroBioCenter,G108,groundwater,KZ,43.46581,76.97755,14,8.3,180,90,0.921,0.02,0.01,21.3,5.5,15.7,1.8,0,3.5,2.8,31.5,0.4,0,7.4,2.5,3.7,0.22,0.39,2.01,249.24,0.67
