Sample Nr,Date sampled,Time,Month,Location,Country,Sample description,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  
21,02-07-19,15:10,7,"Chirhik river, near Chirchik town",UZ,clear water,streamwater,41.430512,69.582846,18,8.3,200,100,0.74,,0.05
22,02-07-19,17:10,7,Chirchik river near Tashkent,UZ,clear water,streamwater,41.262264,69.375302,27,8.5,390,190,4.44,0.06,0.06
23,02-07-19,18:20,7,"Chirhik river, downstream Tashkent town",UZ,clear water,streamwater,41.168056,69.231661,26,8.1,490,240,4.17,,0.06
24,02-07-19,19:10,7,Chirchik river near inflow to Syrdarya river,UZ,clear water,streamwater,40.900364,68.709182,27,8,800,390,1.92,0.02,0.06
25,31-07-19,12:30,7,"Pskem river, Mulala gaging station",UZ,streamwater,streamwater,41.771928,70.190761,13,8.1,160,70,0.57,0.01,0
26,31-07-19,13:50,7,"Chircik river, downstream Charvak reserv. Dam",UZ,streamwater,streamwater,41.630271,69.953152,15,8.4,170,80,0.39,0.01,0
27,31-07-19,14:10,7,"Spring on left bank of Chirhik, Hodjakent vil.",UZ,"springwater, GW",groundwater,41.622935,69.940481,16,8.2,270,130,1.77,0.02,
28,31-07-19,15:55,7,"Chircik river, downstream Gazalkent town",UZ,streamwater,streamwater,41.52991,69.68849,17,8,260,130,0.81,0.01,
29,31-07-19,16:20,7,"Chirhik river, near Chirchik town",UZ,streamwater,streamwater,41.430512,69.582846,20,8.4,190,90,0.56,0,0
30,31-07-19,10:30,7,Chirchik river near Tashkent,UZ,streamwater,streamwater,41.262264,69.375302,24,7.9,510,250,4.47,0.08,0.01
31,31-07-19,09:10,7,"Chirhik river, downstream Tashkent town",UZ,streamwater,streamwater,41.168056,69.231661,23,7.7,610,300,4.76,0.01,0
32,31-07-19,08:10,7,Chirchik river near inflow to Syrdarya river,UZ,streamwater,streamwater,40.900364,68.709182,27,8,880,430,0.84,0.07,0.02
35,15-08-19,,8,"Pskem river, Mulala gaging station",UZ,streamwater,streamwater,41.771928,70.190761,11,8.3,150,70,0.45,,0
36,15-08-19,,8,"Chircik river, downstream Charvak reserv. Dam",UZ,streamwater,streamwater,41.630271,69.953152,17,8.8,170,80,0.41,,0
37,15-08-19,,8,"Spring on left bank of Chirhik, Hodjakent vil.",UZ,"springwater, GW",groundwater,41.622935,69.940481,16,8.3,200,130,1.07,,0
38,15-08-19,,8,"Chircik river, downstream Gazalkent town",UZ,streamwater,streamwater,41.52991,69.68849,19,7.9,640,320,2.37,0.29,0
39,15-08-19,,8,"Chirhik river, near Chirchik town",UZ,streamwater,streamwater,41.430512,69.582846,17,8.4,200,100,0.64,0.06,0
40,15-08-19,,8,Chirchik river near Tashkent,UZ,streamwater,streamwater,41.262264,69.375302,23,8.5,420,210,5.31,,0
41,15-08-19,,8,"Chirhik river, downstream Tashkent town",UZ,streamwater,streamwater,41.168056,69.231661,25,8.1,560,270,4.98,,0.03
42,15-08-19,,8,Chirchik river near inflow to Syrdarya river,UZ,streamwater,streamwater,40.900364,68.709182,28,7.8, ,500,0.96,0.01,0
45,15-08-19,,8,Bore hole near Yangiyul,UZ,groundwater,groundwater,41.09439,69.05308,23,7.4,810,420,5.64,0.78,0
45,05-09-19,14:30,9,"Pskem river, Mulala gaging station",UZ,streamwater,streamwater,41.771928,70.190761,14,8.3,160,80,0.5,4.41,0.01
47,05-09-19,15:50,9,"Chircik river, downstream Charvak reserv. Dam",UZ,streamwater,streamwater,41.630271,69.953152,17,8.5,160,80,0.41,2.37,0
48,05-09-19,13:00,9,"Spring on left bank of Chirhik, Hodjakent vil.",UZ,"springwater, GW",groundwater,41.622935,69.940481,16,8.2,260,120,1.06,2,0
49,05-09-19,16:23,9,"Chircik river, downstream Gazalkent town",UZ,streamwater,streamwater,41.52991,69.68849,21,8.1,520,250,2.74,2.92,0.02
50,05-09-19,12:35,9,"Chirhik river, near Chirchik town",UZ,streamwater,streamwater,41.430512,69.582846,20,8.3,230,110,0.88,2.92,0
51,05-09-19,18:25,9,Chirchik river near Tashkent,UZ,streamwater,streamwater,41.262264,69.375302,24,8.7,450,220,5.39,2.86,0.03
52,05-09-19,11:00,9,"Chirhik river, downstream Tashkent town",UZ,streamwater,streamwater,41.168056,69.231661,21,8,560,280,4.17,2.16,0.02
53,05-09-19,09:40,9,Chirchik river near inflow to Syrdarya river,UZ,streamwater,streamwater,40.900364,68.709182,23,8,990,480,2.26,3.27,0.05
54,05-09-19,10:30,9,Bore hole near Yangiyul,UZ,groundwater,groundwater,41.09439,69.05308,22,7.4,870,430,5.5,1.32,0.01
55,24-09-19,12:40,9,"Pskem river, Mulala gaging station",UZ,streamwater,streamwater,41.771928,70.190761,13,8.2,180,90,0.52,0.01,0
56,24-09-19,13:25,9,"Chircik river, downstream Charvak reserv. Dam",UZ,streamwater,streamwater,41.630271,69.953152,18,8.5,180,90,0.364,0.01,0.01
57,24-09-19,13:40,9,"Spring on left bank of Chirhik, Hodjakent vil.",UZ,"springwater, GW",groundwater,41.622935,69.940481,16,8.2,270,140,1.07,0.03,0.01
58,24-09-19,14:45,9,"Chircik river, downstream Gazalkent town",UZ,streamwater,streamwater,41.52991,69.68849,19,7.9,490,240,2.53,0.01,0
59,24-09-19,15:00,9,"Chirhik river, near Chirchik town",UZ,streamwater,streamwater,41.430512,69.582846,20,8.4,280,140,1.09,0.01,0.01
60,24-09-19,15:40,9,Chirchik river near Tashkent,UZ,streamwater,streamwater,41.262264,69.375302,23,8.3,460,230,6.19,0.1,0.01
61,24-09-19,16:10,9,"Chirhik river, downstream Tashkent town",UZ,streamwater,streamwater,41.168056,69.231661,24,7.9,530,260,3.84,0.16,0.01
62,24-09-19,18:10,9,Chirchik river near inflow to Syrdarya river,UZ,streamwater,streamwater,40.900364,68.709182,23,7.9,870,440,3.06,0.13,0.01
1,23-07-19,08:40,7,Maykhura river,TJ,"MH1, stream water",streamwater,39.026767,68.784795,7,8.2,170,80,0.46,0.006,0.02
2,23-07-19,10:00,7,"Varzob river, Gauging station",TJ,"GP2, streamwater",streamwater,38.872408,68.832686,9,8.1,110,60,0.54,0.014,0.01
3,23-07-19,11:20,7,Luchob river,TJ,"LU3, streamflow",streamwater,38.587298,68.771622,22,8.2,110,50,0.44,0.006,0.02
4,23-07-19,14:50,7,Kafarnigan river,TJ,"KF3, streamflow",streamwater,38.493434,68.783604,19,8,110,60,0.63,0.009,0.02
5,23-07-19,13:15,7,"South-East water uptake,  drinking water facility",TJ,"GWP4, groundwater",groundwater,38.522381,68.720056,22,7.2,460,220,5.82,0.006,0.01
6,23-07-19,15:09,7,Potable water well,TJ,"GWP6, groundwater",groundwater,38.489616,68.785221,21,6.9,700,350,10,0.006,0.02
7,07-08-19,08:30,8,Maykhura river,TJ,"MH1, stream water",streamwater,39.026767,68.784795,8,8.2,150,80,0.56,0.025,0.01
8,07-08-19,09:22,8,"Varzob river, Gauging station",TJ,"GP2, streamwater",streamwater,38.872408,68.832686,10,8.1,110,60,0.47,0.009,0.01
9,07-08-19,10:48,8,Luchob river,TJ,"LU3, streamflow",streamwater,38.587298,68.771622,23,8.3,130,60,0.34,0.023,0.01
10,07-08-19,13:09,8,Kafarnigan river,TJ,"KF3, streamflow",streamwater,38.493434,68.783604,20,7.4,280,140,2.59,0.017,0.03
11,07-08-19,11:30,8,"South-East water uptake,  drinking water facility",TJ,"GWP4, groundwater",groundwater,38.522381,68.720056,21,7.3,570,300,6.03,0.023,0.02
12,07-08-19,11:30,8,Potable water well,TJ,"GWP6, groundwater",groundwater,38.489616,68.785221,19,6.9,900,460,16.7,0.021,0.02
13,21-08-19,08:04,8,Maykhura river,TJ,"MH1, stream water",streamwater,39.026767,68.784795,7,8.3,180,90,0.37,0.017,0.1
14,21-08-19,08:52,8,"Varzob river, Gauging station",TJ,"GP2, streamwater",streamwater,38.872408,68.832686,10,8.2,120,60,0.42,0.011,0.1
15,21-08-19,09:54,8,Luchob river,TJ,"LU3, streamflow",streamwater,38.587298,68.771622,19,8.4,180,90,0.49,0.018,0.1
16,21-08-19,12:22,8,Kafarnigan river,TJ,"KF3, streamflow",streamwater,38.493434,68.783604,18,7.3,390,200,2.07,0.013,0.1
17,21-08-19,11:36,8,"South-East water uptake,  drinking water facility",TJ,"GWP4, groundwater",groundwater,38.522381,68.720056,19,7.2,580,300,6.23,0.018,0.1
18,21-08-19,12:46,8,Potable water well,TJ,"GWP6, groundwater",groundwater,38.489616,68.785221,20,7,900,450,14.9,0.021,0.14
19,06-09-19,09:08,9,Maykhura river,TJ,"MH1, stream water",streamwater,39.026767,68.784795,8,8.3,170,80,0.45,0.011,0.01
20,06-09-19,10:07,9,"Varzob river, Gauging station",TJ,"GP2, streamwater",streamwater,38.872408,68.832686,9,8.6,150,70,0.32,0.021,0.01
21,06-09-19,11:20,9,Luchob river,TJ,"LU3, streamflow",streamwater,38.587298,68.771622,20,8.6,220,110,0.55,0.016,0.01
22,06-09-19,12:46,9,Kafarnigan river,TJ,"KF3, streamflow",streamwater,38.493434,68.783604,18,7.8,290,140,0.21,0.016,0.11
23,06-09-19,11:50,9,"South-East water uptake,  drinking water facility",TJ,"GWP4, groundwater",groundwater,38.522381,68.720056,18,7.4,570,280,6.1,0.022,0.11
24,06-09-19,13:04,9,Potable water well,TJ,"GWP6, groundwater",groundwater,38.489616,68.785221,20,7,900,450,15,0.024,0.22
25,24-09-19,08:40,9,Maykhura river,TJ,"MH1, stream water",streamwater,39.026767,68.784795,8,8.2,180,90,0.42,0.024,0.1
26,24-09-19,09:24,9,"Varzob river, Gauging station",TJ,"GP2, streamwater",streamwater,38.872408,68.832686,11,8.1,140,70,0.4,0.02,0.1
27,24-09-19,10:30,9,Luchob river,TJ,"LU3, streamflow",streamwater,38.587298,68.771622,20,8.3,250,120,0.52,0.017,0.11
28,24-09-19,12:20,9,Kafarnigan river,TJ,"KF3, streamflow",streamwater,38.493434,68.783604,19,7.8,340,160,3.09,0.017,0.11
29,24-09-19,,9,"South-East water uptake,  drinking water facility",TJ,"GWP4, groundwater",groundwater,38.522381,68.720056,20,7.3,570,290,5.67,0.021,0.11
30,24-09-19,12:45,9,Potable water well,TJ,"GWP6, groundwater",groundwater,38.489616,68.785221,22,6.8,900,450,13.9,0.022,0.2
31,09-10-19,09:45,10,Maykhura river,TJ,"MH1, stream water",streamwater,39.026767,68.784795,8,8.3,200,100,0.49,0.023,0.12
32,09-10-19,10:45,10,"Varzob river, Gauging station",TJ,"GP2, streamwater",streamwater,38.872408,68.832686,10,8.1,150,70,0.53,0.019,0.13
33,09-10-19,11:50,10,Luchob river,TJ,"LU3, streamflow",streamwater,38.587298,68.771622,17,8.5,260,130,0.69,0.025,0.12
34,09-10-19,13:34,10,Kafarnigan river,TJ,"KF3, streamflow",streamwater,38.493434,68.783604,18,7.9,290,140,2.04,0.033,0.1
35,09-10-19,13:02,10,"South-East water uptake,  drinking water facility",TJ,"GWP4, groundwater",groundwater,38.522381,68.720056,19,7.2,620,310,6.23,0.033,0.1
36,09-10-19,13:52,10,Potable water well,TJ,"GWP6, groundwater",groundwater,38.489616,68.785221,20,6.9,860,430,11.1,0.018,0.17
37,23-10-19,09:36,10,Maykhura river,TJ,"MH1, stream water",streamwater,39.026767,68.784795,7,8.3,210,100,0.503,0.026,0.1
38,23-10-19,10:12,10,"Varzob river, Gauging station",TJ,"GP2, streamwater",streamwater,38.872408,68.832686,8,8,180,90,0.594,0.016,0.1
39,23-10-19,11:06,10,Luchob river,TJ,"LU3, streamflow",streamwater,38.587298,68.771622,14,8.3,260,130,0.711,0.019,0.1
40,23-10-19,13:05,10,Kafarnigan river,TJ,"KF3, streamflow",streamwater,38.493434,68.783604,15,7.5,360,190,2.42,0.029,0.1
41,23-10-19,12:30,10,"South-East water uptake,  drinking water facility",TJ,"GWP4, groundwater",groundwater,38.522381,68.720056,17,7.2,650,320,6.13,0.019,0.1
42,23-10-19,13:30,10,Potable water well,TJ,"GWP6, groundwater",groundwater,38.489616,68.785221,19,6.8,890,440,11,0.019,0.16
