Sample Nr,Date sampled,Time,Month,Location,Sample description,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  
48,05-09-2019,13:00,9,"Spring on left bank of Chirhik, Hodjakent vil.","springwater, GW",groundwater,41.622935,69.940481,16,8.2,260,120,1.06,2,0
49,05-09-2019,16:23,9,"Chircik river, downstream Gazalkent town",streamwater,streamwater,41.52991,69.68849,21,8.1,520,250,2.74,2.92,0.02
50,05-09-2019,12:35,9,"Chirhik river, near Chirchik town",streamwater,streamwater,41.430512,69.582846,20,8.3,230,110,0.88,2.92,0
51,05-09-2019,18:25,9,Chirchik river near Tashkent,streamwater,streamwater,41.262264,69.375302,24,8.7,450,220,5.39,2.86,0.03
52,05-09-2019,11:00,9,"Chirhik river, downstream Tashkent town",streamwater,streamwater,41.168056,69.231661,21,8,560,280,4.17,2.16,0.02
53,05-09-2019,09:40,9,Chirchik river near inflow to Syrdarya river,streamwater,streamwater,40.900364,68.709182,23,8,990,480,2.26,3.27,0.05
54,05-09-2019,10:30,9,Bore hole near Yangiyul,groundwater,groundwater,41.09439,69.05308,22,7.4,870,430,5.5,1.32,0.01
55,24-09-2019,12:40,9,"Pskem river, Mulala gaging station",streamwater,streamwater,41.771928,70.190761,13,8.2,180,90,0.52,0.01,0
56,24-09-2019,13:25,9,"Chircik river, downstream Charvak reserv. Dam",streamwater,streamwater,41.630271,69.953152,18,8.5,180,90,0.364,0.01,0.01
57,24-09-2019,13:40,9,"Spring on left bank of Chirhik, Hodjakent vil.","springwater, GW",groundwater,41.622935,69.940481,16,8.2,270,140,1.07,0.03,0.01
58,24-09-2019,14:45,9,"Chircik river, downstream Gazalkent town",streamwater,streamwater,41.52991,69.68849,19,7.9,490,240,2.53,0.01,0
59,24-09-2019,15:00,9,"Chirhik river, near Chirchik town",streamwater,streamwater,41.430512,69.582846,20,8.4,280,140,1.09,0.01,0.01
60,24-09-2019,15:40,9,Chirchik river near Tashkent,streamwater,streamwater,41.262264,69.375302,23,8.3,460,230,6.19,0.1,0.01
61,24-09-2019,16:10,9,"Chirhik river, downstream Tashkent town",streamwater,streamwater,41.168056,69.231661,24,7.9,530,260,3.84,0.16,0.01
62,24-09-2019,18:10,9,Chirchik river near inflow to Syrdarya river,streamwater,streamwater,40.900364,68.709182,23,7.9,870,440,3.06,0.13,0.01
