Sample ID ICP,Date,month,Time,Location,Sample description,Sample type,Country,Period,T [C],pH,EC [microS/cm],TDS [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe-Dis [mg/L]  ,Ca [mg/l],Mg [mg/l],Na [mg/l],K [mg/L],Fe-Tot [mg/L],Al [ug/L],As [ug/L],Ba [ug/L],Cd [ug/L],Co [ug/L],Cr [ug/L],Cu [ug/L],Li [ug/L],Mn [ug/L],Ni [ug/L],Pb [ug/L],Sr [ug/L],Zn [ug/L]
51,20-08-19,8,13:30,Kapshagay,Kapshagay,reservoir,KZ,HF,24,8.5,470,230,1.16,0.007,0.01,46,17.8,42.6,2.6,0,6.8,5.5,45.7,0.4,0.1,0.7,2.2,8.6,9.52,0.64,1.43,470.15,2.59
41,19-08-19,8,13:33,"city, Makataeva-Kopernika str. crossing",KA102,streamwater,KZ,HF,11,8.2,170,80,0.918,0.008,0.01,27.1,3.1,3.7,1,0,7.6,2.4,8.4,2.1,0.1,0.6,3.7,2.2,3.17,,4.31,106.25,2.65
42,19-08-19,8,14:22,Otegen Batyr village,KA103,streamwater,KZ,HF,18,8.2,590,290,3.18,0.019,0.03,63.6,26.7,36.4,2.6,0,5.8,,44.9,2.4,0.1,1.9,2.3,17.3,5.62,1.18,6.65,807.65,2.16
17,05-08-19,8,14:30,Alplager,streamflow,streamwater,KG,HF,11,7.3,40,20,0.552,0.013,0.07,9.5,0.4,1,0.8,0,19.5,0.7,2.2,0.3,0.1,,,0.6,6.7,,1.5,21.7,0.2
50,20-08-19,8,14:40,AgroBioCenter,G108,groundwater,KZ,HF,14,8.3,180,90,0.921,0.02,0.01,21.3,5.5,15.7,1.8,0,3.5,2.8,31.5,0.4,0,7.4,2.5,3.7,0.22,0.39,2.01,249.24,0.67
18,05-08-19,8,15:00,Radnik,"spring, GW",groundwater,KG,HF,16,8.1,200,100,0.688,0.011,0.07,37.4,4.1,2.9,0.8,0,3.9,7.6,52.6,0.2,0.1,0,0.1,2.6,0.1,,0.7,162.4,0.1
107,26-08-19,8,15:00,ice,ice,icemelt,KG,LF,,,,,0.064,0.034,0.069,0.2,0,0.1,0.1,0.01,,1.03,0.56,,0.07,0.42,,0.02,1.59,1.45,,0.41,0.63
19,05-08-19,8,15:15,Baityk,streamflow,streamwater,KG,HF,13,7.6,50,20,0.832,0.008,0.07,11.2,0.7,1.3,0.8,0.09,113.6,0.6,5.1,0.1,0,0.2,0.8,0.9,7.8,,1.8,32.2,0.4
108,26-08-19,8,15:20,Glacier melt,icemelt,glaciermelt,KG,LF,,,,,0.157,0.039,0.069,0.5,0.1,0,0.1,0.07,53.09,0.59,1.19,,0.04,0.8,,0.06,2.58,0.24,,1.07,1.8
20,05-08-19,8,16:40,Zarechnoe,streamflow,streamwater,KG,HF,19,7.7,90,40,0.584,0.012,0.07,16.2,1.1,2,1.2,0.02,47.2,0.4,11.4,,0,,0.5,1.3,1.2,,1.3,53,0.1
21,05-08-19,8,17:30,Bridge,streamflow,streamwater,KG,HF,25,7.8,550,270,0.868,0.107,0.07,77.7,16.9,28,4.1,0.01,14.4,5.1,79.5,2.3,0.1,1,2.6,10.3,18.43,0.59,2.99,609.67,2.83
22,05-08-19,8,18:00,Lake,reservoir,reservoir,KG,HF,26,7.4,690,340,3.12,0.024,0.08,84.9,17,45.9,5.4,0.03,13,4.9,85.9,2.9,0,0.6,3,10.3,16.63,0.96,5.08,626.39,3.12
105,16-08-19,8,19:16,well,groundwater,groundwater,KG,LF,13,7.3,680,330,11.2,0.017,0.072,108.5,12.4,23.9,2,0.01,10.8,0.79,201.68,,,2.51,,8.32,0.38,5.88,0.25,624.75,3.35
97,28-10-19,10,07:58,BAL,UA101,reservoir,KZ,LF,4,8.1,120,60,0.627,0.006,0.002,23.8,2.5,2.6,0.7,0,9.08,,62.27,,0.04,0.38,,0.89,0.57,1.44,,147.23,0.34
98,28-10-19,10,08:45,FPP,UA102,streamwater,KZ,LF,4,8.1,180,90,0.712,0.015,0.007,29.5,3,4.3,1.2,0.01,7.48,0.69,25.41,,,0.35,,1.91,1.04,5.11,0.51,120.32,0.33
124,23-10-19,10,09:36,Maykhura river,"MH1, stream water",streamwater,TJ,LF,7,8.3,210,100,0.503,0.026,0.1,40.4,7.3,1.4,0.5,0,,0.19,12.57,,0.02,0,,1.58,0.48,,1.91,74.05,4.25
99,28-10-19,10,09:44,Darhan,UA103,streamwater,KZ,LF,6,8,310,150,1.34,0.012,0.008,42.1,4.4,13.3,1.5,0.01,2.81,,35.15,,0.09,0.59,,3.57,2.92,1.34,0.66,290.44,0.96
96,29-10-19,10,09:50,Potable water,KA104,drinking,KZ,LF,12,7.8,180,90,,,,30.5,3.3,5.5,1.1,0.02,19.95,0.95,16.3,0.44,,0.37,,1.63,1.35,6.55,8.51,122.79,10.94
125,23-10-19,10,10:12,"Varzob river, Gauging station","GP2, streamwater",streamwater,TJ,LF,8,8,180,90,0.594,0.016,0.1,30.5,4.8,1.9,0.7,0.01,3.85,3.5,14.56,,0.05,0.41,,1.88,0.5,2.06,2.91,78.54,0.88
