Sample ID ,Sample Nr. Logbooks,Date,month,Time,Location,Sample description,Sample type,Country,Coordinate 1,Coordinate 2,T [ºC],pH,EC [µS/cm],TDS [mg/L],NO+3-N_Sp [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  ,Cl- [mg/L],SO42-[mg/L],F- [mg/L],NO+3-N_IC [mg/L]  ,Ca [mg/l],Mg [mg/L],Na [mg/l],K [mg/L],Fe[mg/L],Al [ug/L],As [ug/L],Ba [ug/L],Cd [ug/L],Co [ug/L],Cr [ug/L],Cu [ug/L],Li [ug/L],Mn [ug/L],Ni [ug/L],Pb [ug/L],Sr [ug/L],Zn[ug/L]
21,45,04-10-2019,10,18:00,Bridge,streamflow,streamwater,KG,42.950108,74.592261,15,8.1,330,160,1.96,0.304,0.071,7.84,36.4,0.19,1.11,53.8,11.6,12.6,2.3,0.02,2.06,2.38,74.21,0.54,0.33,1.17,,5.26,0.95,12.38,2.83,386.02,5.48
22,46,04-10-2019,10,18:40,Lake,reservoir,reservoir,KG,42.971494,74.602249,14,8,360,180,1.9,0.32,0.072,8.96,36.3,0.21,1.38,54,11.2,13,2,0,0.12,0.31,66.14,,0.08,0.54,,4.79,0.64,0.87,2.69,383.65,0.78
23,1,03-11-2019,11,12:40,"Pskem river, Mulala gaging station",streamwater,streamwater,UZ,41.771928,70.190761,10,8.4,390,190,,,,0.52,15.91,0.14,0.395,35,6.4,1.3,0.5,0,5.49,,54.55,,,0.48,,3.24,0.45,,1.27,186.15,0.66
24,2,02-11-2019,11,13:25,"Chircik river, downstream Charvak reserv. Dam",streamwater,streamwater,UZ,41.630271,69.953152,16,8.3,240,120,,,,1.23,13.46,0.06,0.201,45.6,7.2,2.7,0.7,0,5.78,2.37,126.52,,0.07,0.32,,2.83,0.41,0.78,2.64,194.14,0.3
25,3,03-11-2019,11,13:40,"Spring on left bank of Chirhik, Hodjakent vil.","spring, GW",groundwater,UZ,41.622935,69.940481,15,8.3,280,140,,,,1.03,9.45,0.11,0.917,47.8,10.7,3.8,0.5,0.02,0.71,2.18,60.34,,,0.83,,4.53,1.06,9.13,2.74,295.27,1.38
26,4,02-11-2019,11,14:25,"Chircik river, downstream Gazalkent town",streamwater,streamwater,UZ,41.52991,69.68849,15,8.1,620,310,,,,17.2,96.7,0.16,2.67,78.1,21.1,36.9,1.8,0,8.76,0.26,119.92,,,1.5,,6.15,3.5,0.82,2.16,552.18,0.38
27,5,03-11-2019,11,15:00,"Chirhik river, near Chirchik town",streamwater,streamwater,UZ,41.430512,69.582846,15,8.2,340,176,,,,6.7,51.3,0.12,1.032,48.8,10.6,14.9,1,0.02,,0.59,72.55,,0.05,0.67,,3.54,3.22,5.32,2.41,272.08,0.59
28,6,03-11-2019,11,15:40, Spring  Chirchik river near Tashkent (source),"spring, GW",groundwater,UZ,41.262264,69.375302,19,8.1,530,260,,,,29.9,52.6,0.1,5.35,67.2,11.2,38.1,2.7,0,6.2,0.51,135.2,,,0.44,,3.44,8.84,1.52,2.13,297.38,0.74
29,7,03-11-2019,11,16:10,"Chirhik river, downstream Tashkent town",streamwater,streamwater,UZ,41.168056,69.231661,19,7.9,590,290,,,,20.2,60.8,0.11,4.104,100.8,15.9,21,2.3,0,8.19,,142.15,,,5.3,,2.55,30.64,0.18,2.06,387.67,0.47
30,8,03-11-2019,11,18:10,Chirchik river near inflow to Syrdarya river,streamwater,streamwater,UZ,40.900364,68.709182,19,7.8,1040,520,,,,33.4,215.4,0.3,3.824,106.6,35.2,61.5,4.4,0.01,8.35,,86.8,,0.11,0.81,,9.27,46.16,7.33,1.29,906.08,2.09
31,9,03-11-2019,11,17:10,Bore hole near Yangiyul,groundwater,streamwater,UZ,41.09439,69.05308,14,7.3,380,180,,,,10.08,41.8,0.13,1.457,58.1,10.6,14.7,1,0,5.51,,105.57,,0.08,0.42,,2.69,0.4,1.3,2.36,269.82,0.59
32,37,23-10-2019,10,09:36,Maykhura river,"MH1, stream water",streamwater,TJ,39.026767,68.784795,7,8.3,210,100,0.503,0.026,0.1,0.85,12.28,0.05,0.267,40.4,7.3,1.4,0.5,0,,0.19,12.57,,0.02,0,,1.58,0.48,,1.91,74.05,4.25
33,38,23-10-2019,10,10:12,"Varzob river, Gauging station","GP2, streamwater",streamwater,TJ,38.872408,68.832686,8,8,180,90,0.594,0.016,0.1,0.99,10.26,0.06,0.307,30.5,4.8,1.9,0.7,0.01,3.85,3.5,14.56,,0.05,0.41,,1.88,0.5,2.06,2.91,78.54,0.88
34,39,23-10-2019,10,11:06,Luchob river,"LU3, streamflow",streamwater,TJ,38.587298,68.771622,14,8.3,260,130,0.711,0.019,0.1,3.97,25.2,0.12,0.404,43.9,6.6,8.2,1.3,0,9.01,,60.34,,0.04,0.18,,4.75,4.44,0.2,1.97,399.15,0.3
35,40,23-10-2019,10,13:05,Kafarnigan river,"KF3, streamflow",streamwater,TJ,38.493434,68.783604,15,7.5,360,190,2.42,0.029,0.1,4.75,16.89,0.12,1.981,58.5,12,6.3,1.6,0,3.25,1.3,53.09,,0.09,0.52,,3.65,2.91,0.61,2.33,364.13,0.7
36,41,23-10-2019,10,12:30,"South-East water uptake,  drinking water facility","GWP4, groundwater",groundwater,TJ,38.522381,68.720056,17,7.2,650,320,6.13,0.019,0.1,15.5,42,0.12,5.64,115.8,16.7,17.9,2.1,0,3.61,,76.83,,0.2,3.13,0.47,4.59,0.17,0.75,2.18,500.93,1.43
37,42,23-10-2019,10,13:30,Potable water well,"GWP6, groundwater",groundwater,TJ,38.489616,68.785221,19,6.8,890,440,11,0.019,0.16,16,72.1,0.12,9.85,185.2,18.5,18.8,6.3,0.04,8.96,0.05,146.22,,0,,,4.31,2.26,12.12,1.26,488.74,0.27
