Sample_n	Date	Time	Month	Location	Country	Sample description	Sample type	Coordinate 1	Coordinate 2	T [C]	pH	EC [microS/cm]	TDS    [mg/L]	NO+3-N [mg/L]  	PO3-4-P [mg/L]
56	08-07-2019	11:05	7	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	22	8.4	330	160	1.62	0.013
57	08-07-2019	11:19	7	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	21	8.3	460	230	1.46	0.012
58	08-07-2019	13:15	7	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	26	8.4	490	240	1.56	0.022
59	08-07-2019	14:20	7	AgroBioCenter	KZ	G108	groundwater	43.46581	76.97755	14	8.4	200	100	0.61	0.022
61	09-07-2019	09:30	7	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	9	8.1	170	80	0.86	0.008
62	09-07-2019	10:05	7	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	13	8.2	190	90	0.98	0.009
63	09-07-2019	10:55	7	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	20	8.2	580	280	4.1	0.039
64	23-07-2019	06:25	7	BAL	KZ	UA101	reservoir	43.05687	76.98622	10	8.5	120	60	0.61	0.008
65	23-07-2019	08:00	7	FPP	KZ	UA102	streamwater	43.19164	76.89008	17	8.6	150	70	0.55	0.011
66	23-07-2019	08:45	7	Darhan	KZ	UA103	streamwater	43.31162	76.86975	16	8.3	190	90	0.96	0.002
67	23-07-2019	09:33	7	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	19	8.3	230	110	1.06	0.011
68	23-07-2019	10:35	7	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	23	8.5	420	200	2.12	0.007
69	23-07-2019	10:55	7	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	22	8.5	500	250	1.74	0.018
70	23-07-2019	12:15	7	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	25	8.5	450	220	2.09	0.028
71	23-07-2019	13:21	7	AgroBioCenter	KZ	G108	groundwater	43.46581	76.97755	14	8.4	200	100	0.69	0.018
72	23-07-2019	14:45	7	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	13	8.4	150	70	0.88	0.012
73	23-07-2019	15:13	7	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	15	8.5	170	80	0.87	0.016
74	23-07-2019	15:37	7	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	24	8.5	650	320	3.62	0.014
75	05-08-2019	15:50	8	BAL	KZ	UA101	reservoir	43.05687	76.98622	10	8.2	110	50	0.75	0.009
76	05-08-2019	16:24	8	FPP	KZ	UA102	streamwater	43.19164	76.89008	11	8.1	140	70	0.67	0.012
77	05-08-2019	17:23	8	Darhan	KZ	UA103	streamwater	43.31162	76.86975	16	8.2	170	80	2.23	0.002
78	05-08-2019	06:35	8	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	18	8.2	200	100	1.3	0.011
79	05-08-2019	08:25	8	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	23	8.3	390	190	2.01	0.016
80	05-08-2019	09:15	8	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	22	8.4	550	270	1.71	0.013
81	05-08-2019	10:00	8	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	26	8.4	510	250	2.62	0.021
82	05-08-2019	11:05	8	AgroBioCenter	KZ	G108	groundwater	43.46581	76.97755	14	8.3	190	90	0.66	0.015
83	05-08-2019	11:20	8	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	14	8.2	140	70	0.8	0.011
84	05-08-2019	12:44	8	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	15	8.4	160	80	0.88	0.019
85	05-08-2019	14:15	8	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	24	8.3	600	300	3.67	0.023
86	20-08-2019	07:28	8	BAL	KZ	UA101	reservoir	43.05687	76.98622	7	8.3	110	50	0.59	0.013
87	20-08-2019	08:25	8	FPP	KZ	UA102	streamwater	43.19164	76.89008	8	8.2	130	60	0.68	0.011
88	20-08-2019	09:05	8	Darhan	KZ	UA103	streamwater	43.31162	76.86975	13	8.2	170	80	0.82	0.01
89	20-08-2019	09:55	8	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	15	8.2	200	100	0.81	0.002
90	20-08-2019	10:56	8	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	18	8.2	280	130	1.5	0.005
91	20-08-2019	11:17	8	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	18	8.3	460	220	1.36	0.022
92	20-08-2019	12:40	8	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	21	8.3	370	180	1.65	0.041
93	20-08-2019	14:40	8	AgroBioCenter	KZ	G108	groundwater	43.46581	76.97755	14	8.3	180	90	0.92	0.02
94	19-08-2019	13:00	8	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	9	8.1	140	70	0.94	0.01
95	19-08-2019	13:33	8	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	11	8.2	170	80	0.92	0.008
96	19-08-2019	14:22	8	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	18	8.2	590	290	3.18	0.019
97	20-08-2019	13:30	8	Kapshagay	KZ	Kapshagay	reservoir	43.79377	77.14736	24	8.5	470	230	1.16	0.007
98	02-09-2019	15:57	9	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	11	8.1	150	80	0.96	0.004
99	02-09-2019	16:28	9	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	13	8.3	190	90	0.9	0.012
100	02-09-2019	17:15	9	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	19	8.5	660	320	3.54	0.012
101	03-09-2019	08:00	9	BAL	KZ	UA101	reservoir	43.05687	76.98622	9	8	130	60	0.72	0.008
102	03-09-2019	08:57	9	FPP	KZ	UA102	streamwater	43.19164	76.89008	8	8.1	160	80	0.81	0.006
103	03-09-2019	09:45	9	Darhan	KZ	UA103	streamwater	43.31162	76.86975	15	8.2	200	100	0.94	0.01
104	03-09-2019	10:41	9	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	16	8.2	240	120	1.01	0.006
105	03-09-2019	11:45	9	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	19	8.3	380	190	2.05	0.003
106	03-09-2019	12:05	9	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	19	8.4	600	300	1.41	0.01
107	03-09-2019	13:33	9	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	22	8.4	580	280	1.9	0.017
108	03-09-2019	14:36	9	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	14	8.3	210	100	0.68	0.025
109	16-09-2019	12:51	9	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	9	8.2	190	90	0.9	0.013
110	16-09-2019	13:17	9	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	11	8.4	210	100	0.94	0.018
111	16-09-2019	14:03	9	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	17	8.3	650	320	3.45	0.025
112	17-09-2019	07:23	9	BAL	KZ	UA101	reservoir	43.05687	76.98622	7	8.1	130	60	0.68	0.012
113	17-09-2019	08:20	9	FPP	KZ	UA102	streamwater	43.19164	76.89008	8	8.1	170	80	0.76	0.011
114	17-09-2019	09:15	9	Darhan	KZ	UA103	streamwater	43.31162	76.86975	13	8.1	200	100	1.08	0.017
115	17-09-2019	09:52	9	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	14	8	260	130	1.21	0.016
116	17-09-2019	10:48	9	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	16	8.2	430	210	2.45	0.007
117	17-09-2019	11:03	9	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	16	8.3	620	310	1.56	0.016
118	17-09-2019	12:20	9	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	18	8	490	240	1.88	0.033
119	17-09-2019	13:08	9	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	14	8.2	180	90	0.97	0.028
120	01-10-2019	06:40	10	BAL	KZ	UA101	reservoir	43.05687	76.98622	6	8.1	130	60	0.57	0
121	01-10-2019	08:00	10	FPP	KZ	UA102	streamwater	43.19164	76.89008	10	7.9	310	150	0.2	0.004
122	01-10-2019	09:00	10	Darhan	KZ	UA103	streamwater	43.31162	76.86975	11	8	210	100	0.74	0.001
123	01-10-2019	09:45	10	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	11	7.6	240	120	0.81	0.005
124	01-10-2019	10:42	10	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	12	8.1	440	220	2.79	0.004
125	01-10-2019	11:05	10	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	13	8.3	620	310	1.4	0
126	01-10-2019	12:15	10	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	13	8.2	660	330	2.12	0.019
127	01-10-2019	13:10	10	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	13	8.2	210	100	0.78	0.015
128	01-10-2019	14:33	10	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	7	8.1	200	100	0.83	0.007
129	01-10-2019	15:05	10	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	8	8.2	240	110	0.92	0.003
130	01-10-2019	15:50	10	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	12	8.3	640	320	3.23	0.009
131	14-10-2019	09:57	10	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	4	8.1	200	100	0.832	0.005
132	14-10-2019	10:28	10	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	6	8.2	250	120	0.926	0.014
133	14-10-2019	11:15	10	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	10	8.2	740	360	3.74	0.029
134	15-10-2019	08:33	10	BAL	KZ	UA101	reservoir	43.05687	76.98622	5	8	90	40	0.556	0.002
135	15-10-2019	09:48	10	FPP	KZ	UA102	streamwater	43.19164	76.89008	8	8.1	230	110	0.535	0.011
136	15-10-2019	10:33	10	Darhan	KZ	UA103	streamwater	43.31162	76.86975	7	7.9	310	150	1.44	0.01
137	15-10-2019	11:13	10	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	9	7.9	360	180	1.61	0.009
138	15-10-2019	12:10	10	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	11	8.1	420	210	2.76	0.018
139	15-10-2019	12:33	10	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	12	8.3	560	280	1.5	0.005
140	15-10-2019	13:53	10	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	13	8.2	620	310	2.06	0.032
141	15-10-2019	14:47	10	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	12	8.1	200	100	0.52	0.022
142	28-10-2019	07:58	10	BAL	KZ	UA101	reservoir	43.05687	76.98622	4	8.1	120	60	0.627	0.006
143	28-10-2019	08:45	10	FPP	KZ	UA102	streamwater	43.19164	76.89008	4	8.1	180	90	0.712	0.015
144	28-10-2019	09:44	10	Darhan	KZ	UA103	streamwater	43.31162	76.86975	6	8	310	150	1.34	0.012
145	28-10-2019	10:25	10	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	7	8	400	190	1.86	0.015
146	28-10-2019	11:20	10	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	8	8.2	500	240	2.99	0.015
147	28-10-2019	11:37	10	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	9	8.3	600	300	1.84	0.014
148	28-10-2019	12:55	10	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	10	8.2	690	340	2.42	0.025
149	28-10-2019	13:38	10	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	13	8.2	210	100	0.594	0.021
150	29-10-2019	11:05	10	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	3	8.1	210	100	0.886	0.01
151	29-10-2019	11:41	10	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	5	8.2	250	120	1.01	0.012
152	29-10-2019	12:37	10	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	8	8.4	730	360	3.94	0.033
153	11-11-2019	11:45	11	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	3	8.1	280	140	0.953	0.012
154	11-11-2019	12:13	11	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948	3	8.1	350	170	1.01	0.015
155	11-11-2019	13:00	11	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	6	8.3	720	350	3.99	0.033
156	12-11-2019	08:55	11	BAL	KZ	UA101	reservoir	43.05687	76.98622	2	8.3	120	60	0.587	0.006
157	12-11-2019	10:15	11	FPP	KZ	UA102	streamwater	43.19164	76.89008	2	7.6	200	100	0.761	0.014
158	12-11-2019	10:55	11	Darhan	KZ	UA103	streamwater	43.31162	76.86975	3	8.1	290	140	1.38	0.01
159	12-11-2019	11:40	11	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	5	8.2	460	230	2.67	0.011
160	12-11-2019	12:39	11	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	6	8.3	550	270	4.03	0.01
161	12-11-2019	12:55	11	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	6	8.2	560	280	1.77	0.022
162	12-11-2019	14:10	11	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	6	8.4	660	330	2.8	0.028
163	12-11-2019	15:05	11	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	13	8.1	200	100	0.615	0.028
164	25-11-2019	07:43	11	BAL	KZ	UA101	reservoir	43.05687	76.98622	0	8.2	150	70	0.613	0.004
165	25-11-2019	09:32	11	FPP	KZ	UA102	streamwater	43.19164	76.89008	1	8.2	170	80	0.69	0.007
166	25-11-2019	10:20	11	Darhan	KZ	UA103	streamwater	43.31162	76.86975	1	8.2	340	170	1.48	0.008
167	25-11-2019	11:10	11	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	2	8.2	580	290	2.88	0.015
168	25-11-2019	12:10	11	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	3	8.5	600	300	4.14	0.016
169	25-11-2019	12:25	11	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	3	8.5	590	290	1.9	0.065
170	25-11-2019	13:35	11	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	3	8.6	670	330	2.9	0.058
171	25-11-2019	14:30	11	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	13	8.8	200	100	0.565	0.024
172	26-11-2019	13:05	11	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	1	8	190	90	0.853	0.016
173	26-11-2019		11	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948						
174	26-11-2019	14:07	11	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	5	8.5	790	390	4.43	0.055
175	09-12-2019	09:00	12	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	0	8.3	220	110	0.799	0.009
176	09-12-2019	09:25	12	"city, Makataeva-Kopernika str. Crossing"	KZ	KA102	streamwater	43.25161	76.95948						
177	09-12-2019	10:10	12	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	3	8.4	920	450	4.1	0.058
178	11-12-2019	08:07	12	BAL	KZ	UA101	reservoir	43.05687	76.98622	1	8.1	120	60	0.636	0.01
179	11-12-2019	09:17	12	FPP	KZ	UA102	streamwater	43.19164	76.89008	2	8	160	70	0.734	0.005
180	11-12-2019	10:13	12	Darhan	KZ	UA103	streamwater	43.31162	76.86975	2	8	300	150	1.44	0.014
181	11-12-2019	10:55	12	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	3	8.2	500	250	2.59	0.013
182	11-12-2019	11:57	12	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	3	8.3	580	290	3.34	0.012
183	11-12-2019	12:18	12	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	4	8.2	570	280	2.17	0.088
184	11-12-2019	13:40	12	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	4	8.3	660	320	2.83	0.065
185	11-12-2019	14:55	12	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	13	8.2	190	90	0.616	0.023
186	24-12-2019	12:10	12	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	0	8.1	230	110	1.11	0.014
188	24-12-2019	13:20	12	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	1	8.3	890	440	5.66	0.028
189	25-12-2019	07:09	12	BAL	KZ	UA101	reservoir	43.05687	76.98622	1	8.1	140	70	0.687	0.014
190	25-12-2019	08:15	12	FPP	KZ	UA102	streamwater	43.19164	76.89008	1	8.2	180	80	1.31	0.016
191	25-12-2019	08:55	12	Darhan	KZ	UA103	streamwater	43.31162	76.86975	0	7.9	360	180	1.95	0.012
192	25-12-2019	09:35	12	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	0	8.1	570	280	4.12	0.017
193	25-12-2019	10:33	12	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	0	8.3	660	330	4.95	0.016
194	25-12-2019	10:50	12	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	0	8.2	610	300	2.29	0.106
195	25-12-2019	12:21	12	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	0	8.5	710	350	3.39	0.075
196	25-12-2019	13:15	12	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	12	8.2	190	90	0.641	0.025
197	05-01-2020	12:10	1	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	0	8.2	220	110	1.16	0.019
199	05-01-2020	13:20	1	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	2	8.6	840	420	5.64	0.039
200	06-01-2020	07:09	1	BAL	KZ	UA101	reservoir	43.05687	76.98622	1	8.1	140	60	0.756	0.015
201	06-01-2020	08:15	1	FPP	KZ	UA102	streamwater	43.19164	76.89008	0	8.1	150	70	0.733	0.011
202	06-01-2020	08:55	1	Darhan	KZ	UA103	streamwater	43.31162	76.86975	0	8.1	380	190	2.14	0.008
203	06-01-2020	09:35	1	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	1	8.2	570	280	4.28	0.012
204	06-01-2020	10:33	1	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	0	8.3	650	320	4.64	0.014
205	06-01-2020	10:50	1	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	1	8.3	660	330	2.35	0.27
206	06-01-2020	12:21	1	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	1	8.2	570	280	3.4	0.115
207	06-01-2020	13:15	1	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	13	8.2	200	100	0.591	0.027
208	20-01-2020	11:03	1	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	0	8.1	230	110	1.1	0.008
210	20-01-2020	12:18	1	Otegen Batyr village	KZ	KA103	streamwater	43.4063	77.01521	1	8.3	910	450	6.27	0.032
211	21-01-2020	07:30	1	BAL	KZ	UA101	reservoir	43.05687	76.98622	1	8.1	140	70	0.67	0.012
212	21-01-2020	08:50	1	FPP	KZ	UA102	streamwater	43.19164	76.89008	1	8.2	160	80	0.704	0.009
213	21-01-2020	09:33	1	Darhan	KZ	UA103	streamwater	43.31162	76.86975	0	8	440	220	2.03	0.011
214	21-01-2020	10:10	1	Kazcik	KZ	UA104	streamwater	43.39003	76.88078	0	8.3	620	310	4.65	0.017
215	21-01-2020	11:11	1	Kosozen (UA)	KZ	UA105	streamwater	43.56118	76.90803	0	8.3	680	340	5.13	0.014
216	21-01-2020	11:29	1	Kaskelen (Kas)	KZ	Kas106	streamwater	43.56196	76.89783	1	8.4	680	340	2.53	0.278
217	21-01-2020	12:55	1	Arna village	KZ	Kas107	streamwater	43.7784	77.13354	1	8.3	810	400	3.61	0.088
218	21-01-2020	14:50	1	AgroBioCenter	KZ	G108	groundwater	43.47	76.97755	13	8.2	200	100	0.635	0.025
219	03-02-2020	11:21	2	upstream of Almaty city	KZ	KA101	streamwater	43.17401	77.01527	2	8.1	230	110	1.2	0.015
